LOAD DATA
INFILE *
APPEND
INTO TABLE macomb.mt_eh_entity_photo
FIELDS TERMINATED BY ',' OPTIONALLY ENCLOSED BY '"'
(ENTITY_ID,PHOTO_ID,DATE_TAKEN,ACTION_TYPE,ACTION_TIME,ACTION_BY)
BEGINDATA
0IHUW7P5D0XD3MIG,SA3CV6LN8ZNNK9IA,1999010221:44:18-480,I,1999010221:44:18-480,-900
0IHUW7P5D0XD3MIG,GM9JYCJZ3CCIU6SJ,1999010221:44:32-480,I,1999010221:44:32-480,-900
0IHUW7R000XD3MIG,Y25FK9FG5I0K6Y6M,1999010301:26:36-480,I,1999010301:26:36-480,-900
0IHUW7R000XD3MIG,L2I3VH7IETY106AA,1999010301:26:42-480,I,1999010301:26:42-480,-900
0IHUT9X000XD3MIG,QGZ2RC33W65CZ52X,1999010301:28:38-480,I,1999010301:28:38-480,-900
0IHUT9X000XD3MIG,OCS0H8GV82F3IM9X,1999010301:28:52-480,I,1999010301:28:52-480,-900
0IHUWFG0G0XD7MIG,OKJMV6HOQQP3SE9P,1999010301:30:26-480,I,1999010301:30:26-480,-900
0IHUWFG0G0XD7MIG,ATNIHJ0IKK0S0COJ,1999010301:30:38-480,I,1999010301:30:38-480,-900
0IHUIHPXX0X31MIG,EZFZGSP3B3888VPC,1999010305:46:12-480,I,1999010305:46:12-480,-900
0IHUIHPXX0X31MIG,LKZW6DQ7NPZWP0AX,1999010305:46:18-480,I,1999010305:46:18-480,-900
0IHUW7R2I0XD3MIG,YWT5W9ZVQKMC8IPB,1999010306:08:12-480,I,1999010306:08:12-480,-900
0IHUW7R2I0XD3MIG,Q94V5JI1D3EIDGDN,1999010306:08:22-480,I,1999010306:08:22-480,-900
0IHVR07000X84MIG,Q7FGXX7DWDGV3MPY,1999010322:08:40-480,I,1999010322:08:40-480,-900
0IHVR07000X84MIG,ZW7723KLD9CCYYGP,1999010322:09:02-480,I,1999010322:09:02-480,-900
0IHUW83000XD3MIG,ZXN37G1DO6C9EO0P,1999010400:53:48-480,I,1999010400:53:48-480,-900
0IHUW83000XD3MIG,EQASWWT33CTGTPJ3,1999010400:54:02-480,I,1999010400:54:02-480,-900
0IHUW882C0XD3MIG,MTGVFRXNF0FYDBWV,1999010401:04:42-480,I,1999010401:04:42-480,-900
0IHUW882C0XD3MIG,YAUT83NVX7ORTA68,1999010401:04:48-480,I,1999010401:04:48-480,-900
0IHUW88000XD3MIG,ZFI0ODBFHEDTVBHU,1999010401:05:42-480,I,1999010401:05:42-480,-900
0IHUW88000XD3MIG,KWNGDUBSWIZ1OFDD,1999010401:05:54-480,I,1999010401:05:54-480,-900
0IHUL9Z000X23MIG,R3TY7IOWXOB0SW5K,1999010405:12:24-480,I,1999010405:12:24-480,-900
0IHUL9Z000X23MIG,UXIJCOIO3ADEM3G7,1999010405:12:34-480,I,1999010405:12:34-480,-900
0IHV8B1000X31MIG,WQ8LSREKBZN5Q7L6,1999010406:06:20-480,I,1999010406:06:20-480,-900
0IHV8B1000X31MIG,OSXF41EDWHU1K3ZR,1999010406:06:28-480,I,1999010406:06:28-480,-900
0IHUW891S0XD3MIG,IJL4U7R1P6R9FJHW,1999010406:17:36-480,I,1999010406:17:36-480,-900
0IHUW891S0XD3MIG,DX68229C7YMKEPJ0,1999010406:17:40-480,I,1999010406:17:40-480,-900
0IHVMYG000X85MIG,RF4CYQP0WHLFJLTX,1999010406:39:46-480,I,1999010406:39:46-480,-900
0IHVMYG000X85MIG,TTBY2I9P5IPD3KM9,1999010406:40:10-480,I,1999010406:40:10-480,-900
0IHUW8C000XD3MIG,BXZPZHYKFDBPRFIR,1999010413:43:08-480,I,1999010413:43:08-480,-900
0IHUW8C000XD3MIG,NZM43TOJARSHG0LL,1999010413:43:32-480,I,1999010413:43:32-480,-900
0IHV1XZ170XD2MIG,ZL776R0B7LWLEFIC,1999010417:52:28-480,I,1999010417:52:28-480,-900
0IHV1XZ170XD2MIG,WZQRP488TOXZWALT,1999010417:52:40-480,I,1999010417:52:40-480,-900
0IHV52Z8F0XD1MIG,R7SQYOD3F98S99JT,1999010422:12:34-480,I,1999010422:12:34-480,-900
0IHV52Z8F0XD1MIG,HYNW26FAM5LPK1WP,1999010422:12:50-480,I,1999010422:12:50-480,-900
0IHURP00V0XD3MIG,AGRPSXSPX6IU4RBM,1999010422:14:18-480,I,1999010422:14:18-480,-900
0IHURP00V0XD3MIG,HRH4ZNS27ZLDJLW9,1999010422:14:36-480,I,1999010422:14:36-480,-900
0IHUW8J000XD3MIG,T7MA0H9PXI8VUZ4B,1999010422:19:36-480,I,1999010422:19:36-480,-900
0IHUW8J000XD3MIG,F2ZINNBSA5VGU7GH,1999010422:19:52-480,I,1999010422:19:52-480,-900
0IHV513000X31MIG,MOMJD0CJ0ODVCD4Z,1999010501:42:14-480,I,1999010501:42:14-480,-900
0IHV513000X31MIG,QVVD87S8FRSQHQNS,1999010501:42:22-480,I,1999010501:42:22-480,-900
0IHUW8L0X0XD3MIG,L4WTWU8RI5TLXZL0,1999010501:42:56-480,I,1999010501:42:56-480,-900
0IHUW8L0X0XD3MIG,AFX4YYZLBYD3BQNV,1999010501:43:08-480,I,1999010501:43:08-480,-900
0IHUOWD000XD3MIG,PAUG0SJ8MFOAUVUW,1999010501:43:56-480,I,1999010501:43:56-480,-900
0IHUOWD000XD3MIG,I9R4ITWL5L5JG03E,1999010501:44:06-480,I,1999010501:44:06-480,-900
0IHULCWDQ0XD3MIG,LDZWPUS5BVCLQNSB,1999010501:52:32-480,I,1999010501:52:32-480,-900
0IHUL9CKD0XD3MIG,GGYR7W8T68HRYVB4,1999010501:53:14-480,I,1999010501:53:14-480,-900
0IHUL9CKD0XD3MIG,PA1XEATJ2I4BQNTN,1999010501:53:22-480,I,1999010501:53:22-480,-900
0IHUTGF000XD3MIG,QM3I3CRL4SYRRSNQ,1999010501:54:02-480,I,1999010501:54:02-480,-900
0IHUTGF000XD3MIG,UPJVCHGWXDB7L46Q,1999010501:54:12-480,I,1999010501:54:12-480,-900
0IHUPLB000XD3MIG,MD2PEW1C58E9J7RO,1999010501:55:18-480,I,1999010501:55:18-480,-900
0IHUPLB000XD3MIG,EAV20RARUXUIS6NE,1999010501:55:26-480,I,1999010501:55:26-480,-900
0IHUVI7490XD3MIG,PJX5HF4S085BM73B,1999010502:07:20-480,I,1999010502:07:20-480,-900
0IHUVI7490XD3MIG,CE41Q5DFQCJ1A2SX,1999010502:07:32-480,I,1999010502:07:32-480,-900
0IHUW8K340XD3MIG,ZB6AF9L3MPJOLHBK,1999010502:08:06-480,I,1999010502:08:06-480,-900
0IHUW8K340XD3MIG,V0MM9A2P80WLOZXZ,1999010502:08:12-480,I,1999010502:08:12-480,-900
0IHUPT70A0XD1MIG,TTVCINTZ7QW34VVA,1999010502:08:56-480,I,1999010502:08:56-480,-900
0IHUPT70A0XD1MIG,EHPZ6QYD4X79TQMQ,1999010502:09:04-480,I,1999010502:09:04-480,-900
0IHUU3M1N0XD3MIG,BE27Y8MHA4WT6Z84,1999010502:09:54-480,I,1999010502:09:54-480,-900
0IHUU3M1N0XD3MIG,EG1X4AOFGP2CY18O,1999010502:10:04-480,I,1999010502:10:04-480,-900
0IHUT22000XD1MIG,XO12WK6KFA3A3HS1,1999010502:28:14-480,I,1999010502:28:14-480,-900
0IHUT22000XD1MIG,LT7C89J2MASTVU9Z,1999010502:28:22-480,I,1999010502:28:22-480,-900
0IHUL8BYO0XD3MIG,K6UJ8G0YWC5QHZKY,1999010502:28:54-480,I,1999010502:28:54-480,-900
0IHUMYP1N0XD3MIG,SKT8LRPSUJLXNHVT,1999010502:30:06-480,I,1999010502:30:06-480,-900
0IHUMYP1N0XD3MIG,J14897KLU2702R9B,1999010502:30:14-480,I,1999010502:30:14-480,-900
0IHURVQ1L0XD3MIG,J60O899RD9WW644J,1999010502:30:52-480,I,1999010502:30:52-480,-900
0IHURVQ1L0XD3MIG,JBVY85XMNLVUATUG,1999010502:30:58-480,I,1999010502:30:58-480,-900
0IHUNDK000XD2MIG,S69LX5NCBNR6A9EC,1999010504:23:46-480,I,1999010504:23:46-480,-900
0IHUNDK000XD2MIG,ZB7SKB9HN4IQUNAH,1999010504:23:54-480,I,1999010504:23:54-480,-900
0IHVKP8F10X84MIG,KW23RIY6VT1EOOSQ,1999010504:28:08-480,I,1999010504:28:08-480,-900
0IHVKP8F10X84MIG,FMG06RZIUJXD1NVH,1999010504:28:20-480,I,1999010504:28:20-480,-900
0IHUMO11A0XD2MIG,GH92F947HJAI3B5V,1999010505:19:42-480,I,1999010505:19:42-480,-900
0IHUMO11A0XD2MIG,BVQO647SZVVRHWC1,1999010505:19:50-480,I,1999010505:19:50-480,-900
0IHUYEW2X0XD7MIG,JKCYWCK6RIEKC4FG,1999010505:21:02-480,I,1999010505:21:02-480,-900
0IHUYEW2X0XD7MIG,JQ5PJJDWEV3RBVWX,1999010505:21:08-480,I,1999010505:21:08-480,-900
0IHVKLZWH0X84MIG,QTDFRI6EADQHMMPD,1999010505:22:10-480,I,1999010505:22:10-480,-900
0IHVKLZWH0X84MIG,UNTV96D70VRB1755,1999010505:22:16-480,I,1999010505:22:16-480,-900
0IHUW8S3U0XD3MIG,RH7WN0NGTLW9NANQ,1999010505:30:54-480,I,1999010505:30:54-480,-900
0IHUW8S3U0XD3MIG,JF2U1CFML8U9JW2X,1999010505:31:06-480,I,1999010505:31:06-480,-900
0IHUW8L500XD3MIG,I3T69O5K2X9SNJ5E,1999010505:31:44-480,I,1999010505:31:44-480,-900
0IHUW8L500XD3MIG,V1D2ZP88OTFQKBF0,1999010505:31:52-480,I,1999010505:31:52-480,-900
0IHUW8X000XD3MIG,UFLPWKL95DHPKDVZ,1999010505:33:28-480,I,1999010505:33:28-480,-900
0IHUW8X000XD3MIG,ZL0UM6E8MUCAPMSJ,1999010505:33:34-480,I,1999010505:33:34-480,-900
0IHUL9D470XD3MIG,ZMUPDGZHZ1PX7S9R,1999010505:34:22-480,I,1999010505:34:22-480,-900
0IHUL9D470XD3MIG,J88FJAYTEZ0964QJ,1999010505:34:28-480,I,1999010505:34:28-480,-900
0IHUW94090XD3MIG,MIOAO206K2BSYX7Z,1999010505:40:08-480,I,1999010505:40:08-480,-900
0IHUW94090XD3MIG,LLMTLIDG9TVU2IZ9,1999010505:40:16-480,I,1999010505:40:16-480,-900
0IHUOY0000X31MIG,AMNFOKM9FBHM9J57,1999010505:41:08-480,I,1999010505:41:08-480,-900
0IHUOY0000X31MIG,I4WW9411BBXE1EOO,1999010505:41:18-480,I,1999010505:41:18-480,-900
0IHUW93000XD3MIG,GJFY2MJEP86JWNKM,1999010505:43:10-480,I,1999010505:43:10-480,-900
0IHUW93000XD3MIG,OAWOVQ0O7E6L5VTV,1999010505:43:16-480,I,1999010505:43:16-480,-900
0IHUI0H000X30MIG,JVSHDI9P1UP7YRMI,1999010505:44:04-480,I,1999010505:44:04-480,-900
0IHUI0H000X30MIG,GMXGYRH154B7BTBD,1999010505:44:16-480,I,1999010505:44:16-480,-900
0IHV1TU000X30MIG,VD6KMMI9S34HR10P,1999010505:53:00-480,I,1999010505:53:00-480,-900
0IHV1TU000X30MIG,VGIIZCFVYGECUXGR,1999010505:53:14-480,I,1999010505:53:14-480,-900
0IHUW8Z0Y0XD3MIG,XL6L1UTGXMA2WDJG,1999010505:53:46-480,I,1999010505:53:46-480,-900
0IHUW8Z0Y0XD3MIG,U5HSDGW4IBC8REUT,1999010505:53:56-480,I,1999010505:53:56-480,-900
0IHUW8V000XD3MIG,BGYRP8M8P87YLL1N,1999010505:58:58-480,I,1999010505:58:58-480,-900
0IHUW8V000XD3MIG,ASPRTJV68Z26H0BB,1999010505:59:14-480,I,1999010505:59:14-480,-900
0IHUNC3000XD3MIG,DD3LAEGQK3I99R4M,1999010506:12:00-480,I,1999010506:12:00-480,-900
0IHUNC3000XD3MIG,ULYUAY46D76NQK1P,1999010506:12:18-480,I,1999010506:12:18-480,-900
0IHULA3060XD7MIG,I8UCT75M9M9Q9VZO,1999010506:12:50-480,I,1999010506:12:50-480,-900
0IHULA3060XD7MIG,JS4Z58NJSBMNIDB6,1999010506:13:00-480,I,1999010506:13:00-480,-900
0IHUTJS0V0XD3MIG,XM98A0WFHA3ZGFTR,1999010506:19:32-480,I,1999010506:19:32-480,-900
0IHUTJS0V0XD3MIG,XMRS190JMO0UYBS7,1999010506:19:40-480,I,1999010506:19:40-480,-900
0IHVJ93850X78MIG,NYUXCC1N3UDEB9G1,1999010506:38:36-480,I,1999010506:38:36-480,-900
0IHVJ93850X78MIG,RMJNF57K3HAGYAMO,1999010506:38:42-480,I,1999010506:38:42-480,-900
0IHVKN4870X84MIG,VWGMOVK4WU5STSV3,1999010506:41:30-480,I,1999010506:41:30-480,-900
0IHVKN4870X84MIG,QX0DNXC3YUE0TJO9,1999010506:41:52-480,I,1999010506:41:52-480,-900
0IHUW8Y000XD3MIG,Z9A515U3F2K1VDMW,1999010506:43:24-480,I,1999010506:43:24-480,-900
0IHUW8Y000XD3MIG,DMV1G8N0WJIR02MA,1999010506:43:40-480,I,1999010506:43:40-480,-900
0IHV4HT000X31MIG,RO2GSZDODZACLZXI,1999010515:58:28-480,I,1999010515:58:28-480,-900
0IHV4HT000X31MIG,PDEQVF070TDHIT42,1999010515:58:48-480,I,1999010515:58:48-480,-900
0IHUUD21P0XD3MIG,OLZKT0QZ5OOVQUCR,1999010517:49:48-480,I,1999010517:49:48-480,-900
0IHUUD21P0XD3MIG,NM2V3G70VSVA8QAQ,1999010517:49:56-480,I,1999010517:49:56-480,-900
0IHUQ48090X23MIG,U9XDBS934D48BI7P,1999010518:10:10-480,I,1999010518:10:10-480,-900
0IHUQ48090X23MIG,AE8M91LI0Q0QQS4B,1999010518:10:18-480,I,1999010518:10:18-480,-900
0IHVM5NJF0X85MIG,AMG2MCBTUBR0R0IE,1999010519:19:38-480,I,1999010519:19:38-480,-900
0IHVM5NJF0X85MIG,KGU9OQGQCTGKJZQI,1999010519:19:56-480,I,1999010519:19:56-480,-900
0IHVBXP000X44MIG,XB81B3EHIT23ZZMI,1999010519:20:48-480,I,1999010519:20:48-480,-900
0IHVBXP000X44MIG,W4I4D960AGZ2NGD6,1999010519:21:06-480,I,1999010519:21:06-480,-900
0IHVLLG190X84MIG,WD9GETGVLVWHIKTF,1999010519:34:50-480,I,1999010519:34:50-480,-900
0IHVLLG190X84MIG,MJ6LCSLCF4TQZY7Q,1999010519:35:10-480,I,1999010519:35:10-480,-900
0IHVNJV000X84MIG,Q6Z4IJR766G95XWF,1999010520:04:48-480,I,1999010520:04:48-480,-900
0IHVNJV000X84MIG,QS0V8F3YVRYHNQ5L,1999010520:04:56-480,I,1999010520:04:56-480,-900
0IHUSHW2L0XD2MIG,VXY5CWHPETO530SW,1999010520:19:34-480,I,1999010520:19:34-480,-900
0IHUSHW2L0XD2MIG,BVZHDKRT9RMAQU0G,1999010520:19:46-480,I,1999010520:19:46-480,-900
0IHUTCO0R0XD3MIG,EANB8OHK88ZF1XZS,1999010522:33:22-480,I,1999010522:33:22-480,-900
0IHUTCO0R0XD3MIG,QGZ445GUUOMJH4ER,1999010522:33:44-480,I,1999010522:33:44-480,-900
0IHUM59060XD3MIG,J2KX5WVHPOL03MFG,1999010522:47:14-480,I,1999010522:47:14-480,-900
0IHUM59060XD3MIG,W4RKP9CHXKW6WSDM,1999010522:47:28-480,I,1999010522:47:28-480,-900
0IHVM0EO90X85MIG,K0YH37IC53X409UJ,1999010522:54:02-480,I,1999010522:54:02-480,-900
0IHVM0EO90X85MIG,SFHPJD2UFDU9ACWD,1999010522:54:12-480,I,1999010522:54:12-480,-900
0IHUWAQ000XD3MIG,YO6HRLCTZOHMLDQV,1999010601:33:30-480,I,1999010601:33:30-480,-900
0IHUWAQ000XD3MIG,EVWY3KQDR3UEBEY3,1999010601:34:00-480,I,1999010601:34:00-480,-900
0IHVE8D000X51MIG,C76UHU08G4SS9RE2,1999010601:48:14-480,I,1999010601:48:14-480,-900
0IHVE8D000X51MIG,E68G5YS2QW2D0L1D,1999010601:48:26-480,I,1999010601:48:26-480,-900
0IHVP14330X83MIG,J0KBCB6OV5ZK5APL,1999010601:50:08-480,I,1999010601:50:08-480,-900
0IHVP14330X83MIG,ARQ4074SGUOKLUG7,1999010601:50:24-480,I,1999010601:50:24-480,-900
0IHV0BZ2R0XD1MIG,GZAILBQ6DEC7DQLK,1999010601:54:44-480,I,1999010601:54:44-480,-900
0IHV0BZ2R0XD1MIG,PIKGC86CS9M514F5,1999010601:54:54-480,I,1999010601:54:54-480,-900
0IHVR1Z000X83MIG,BXADN34U5JK5OCPV,1999010601:57:34-480,I,1999010601:57:34-480,-900
0IHULDMDH0XD3MIG,QTRY7Y148XZTIR5D,1999010601:58:38-480,I,1999010601:58:38-480,-900
0IHULDMDH0XD3MIG,OSNII85AW2JHC35G,1999010601:58:58-480,I,1999010601:58:58-480,-900
0IHUWAC000XD3MIG,M7DFL8VKQRU54RLW,1999010602:01:30-480,I,1999010602:01:30-480,-900
0IHUWAC000XD3MIG,MNPSRZXN3LD3BX8H,1999010602:01:42-480,I,1999010602:01:42-480,-900
0IHUTL5550XD3MIG,XGW0KLVTIEVFUS9Y,1999010602:04:12-480,I,1999010602:04:12-480,-900
0IHUTL5550XD3MIG,YFVOMXFB2H37U8JF,1999010602:04:40-480,I,1999010602:04:40-480,-900
0IHUWA2000XD3MIG,CZOVCYI5KW3W7B9W,1999010602:09:46-480,I,1999010602:09:46-480,-900
0IHUWA2000XD3MIG,KUI43IWOBPO305UN,1999010602:10:00-480,I,1999010602:10:00-480,-900
0IHULAH6X0XD3MIG,MWT7626EPRN08JUY,1999010602:11:22-480,I,1999010602:11:22-480,-900
0IHULAH6X0XD3MIG,ZKNT13YFELK1X3HS,1999010602:11:36-480,I,1999010602:11:36-480,-900
0IHV9RG000X41MIG,SFFBM5X1LNYNWGEB,1999010602:14:56-480,I,1999010602:14:56-480,-900
0IHV9RG000X41MIG,PBLYKF7G0HK6YITP,1999010602:15:06-480,I,1999010602:15:06-480,-900
0IHV3PF2L0XD1MIG,Z5UCRS5D3IVKC7M9,1999010602:15:56-480,I,1999010602:15:56-480,-900
0IHV3PF2L0XD1MIG,H5BPPQ92DIAUBQCP,1999010602:16:06-480,I,1999010602:16:06-480,-900
0IHUWB11C0XD3MIG,B1QUEAOKSEOTOJJ6,1999010602:18:28-480,I,1999010602:18:28-480,-900
0IHUWB11C0XD3MIG,WDZWG4Y7SBVD7SFL,1999010602:18:50-480,I,1999010602:18:50-480,-900
0IHUM10190XD3MIG,X7NW7BPW0U0SVPJR,1999010604:57:52-480,I,1999010604:57:52-480,-900
0IHUM10190XD3MIG,DKCO8UHTTD7QZR75,1999010604:58:06-480,I,1999010604:58:06-480,-900
0IHUJWD090X22MIG,Z0UST87YMZ32P7WW,1999010604:59:10-480,I,1999010604:59:10-480,-900
0IHUJWD090X22MIG,ZDA5Y4M1IE7BZJRD,1999010604:59:36-480,I,1999010604:59:36-480,-900
0IHUWCWH40XD7MIG,DVT0CJ0QUGLR4FSP,1999010605:04:52-480,I,1999010605:04:52-480,-900
0IHUWCWH40XD7MIG,R0TBD043S8PQHTE9,1999010605:05:02-480,I,1999010605:05:02-480,-900
0IHUJUYXF0XD2MIG,OHU1L73SH592PS19,1999010605:05:58-480,I,1999010605:05:58-480,-900
0IHUJUYXF0XD2MIG,WEL92K17AFN08828,1999010605:06:10-480,I,1999010605:06:10-480,-900
0IHUWB9300XD3MIG,VKZVS90K7AUDBVUE,1999010605:12:08-480,I,1999010605:12:08-480,-900
0IHUWB9300XD3MIG,Y1EPOF44M1ZLM4MR,1999010605:12:22-480,I,1999010605:12:22-480,-900
0IHUWB40Y0XD3MIG,P6IEWJRHVO92NF7E,1999010605:22:02-480,I,1999010605:22:02-480,-900
0IHUWB40Y0XD3MIG,YKOXGY5C0SBW0PDQ,1999010605:22:16-480,I,1999010605:22:16-480,-900
0IHVM4MI00X85MIG,PMPMIOOTA2J6SOV2,1999010605:24:16-480,I,1999010605:24:16-480,-900
0IHVM4MI00X85MIG,T87M6VHXHCDBPWT1,1999010605:24:28-480,I,1999010605:24:28-480,-900
0IHUNC7460XD7MIG,X1E2P1R6RTO50ZWL,1999010605:30:42-480,I,1999010605:30:42-480,-900
0IHUNC7460XD7MIG,U7F8XXM4PFB8IGTK,1999010605:30:56-480,I,1999010605:30:56-480,-900
0IHV3XV2C0XD2MIG,FIGFASDOFR4MZBT1,1999010605:35:40-480,I,1999010605:35:40-480,-900
0IHV3XV2C0XD2MIG,KCP6YDD9BJ4GAE9M,1999010605:35:56-480,I,1999010605:35:56-480,-900
0IHUWBC000XD3MIG,W931P7S9AN0BR4MS,1999010605:52:14-480,I,1999010605:52:14-480,-900
0IHUWBC000XD3MIG,UNNMWH2FCJGNQTLS,1999010605:52:26-480,I,1999010605:52:26-480,-900
0IHUO2Y000XD1MIG,AR6GD2TG32YA9YNK,1999010606:18:08-480,I,1999010606:18:08-480,-900
0IHUO2Y000XD1MIG,B5EEOOAZB8B9X9YV,1999010606:18:18-480,I,1999010606:18:18-480,-900
0IHVMYA4J0X85MIG,IRB8U4DCYU3ORUPR,1999010611:47:40-480,I,1999010611:47:40-480,-900
0IHVMYA4J0X85MIG,X17NDAVI59DXOYAC,1999010611:48:06-480,I,1999010611:48:06-480,-900
0IHVOJI000X83MIG,LT5WI9YYTQGLLZ2P,1999010618:54:42-480,I,1999010618:54:42-480,-900
