LOAD DATA
INFILE *
APPEND
INTO TABLE macomb.mt_eh_entity_photo
FIELDS TERMINATED BY ',' OPTIONALLY ENCLOSED BY '"'
(ENTITY_ID,PHOTO_ID,DATE_TAKEN,ACTION_TYPE,ACTION_TIME,ACTION_BY)
BEGINDATA
0IHUYH43B0XD2MIG,GQ6ON1NXXVQF3VB4,1999021106:00:22-480,I,1999021106:00:22-480,-900
0IHUXFB000XD3MIG,L9933HLGOW3380I6,1999021106:03:20-480,I,1999021106:03:20-480,-900
0IHUXFB000XD3MIG,DQQIQZPGU67KYV7X,1999021106:03:26-480,I,1999021106:03:26-480,-900
0IHVREB000X83MIG,KPXQMFAOFIKI4IQE,1999021106:06:46-480,I,1999021106:06:46-480,-900
0IHVREB000X83MIG,TXBX6CIK5VJBT40Y,1999021106:06:52-480,I,1999021106:06:52-480,-900
0IHVM36ED0X85MIG,JBIEML8N9VOOSXDM,1999021106:09:38-480,I,1999021106:09:38-480,-900
0IHVM36ED0X85MIG,Q56WOW9URJA9WJG3,1999021106:09:44-480,I,1999021106:09:44-480,-900
0IHUXFT1C0XD3MIG,FGOBZEHVL1KWRDDU,1999021106:14:42-480,I,1999021106:14:42-480,-900
0IHUXFT1C0XD3MIG,VDT0C8Y2FKRQM3TZ,1999021106:14:48-480,I,1999021106:14:48-480,-900
0IHUTQM000XD1MIG,YBN537SDGRU3UIT1,1999021106:19:02-480,I,1999021106:19:02-480,-900
0IHUTQM000XD1MIG,ZIH5XKD8FDCHW09G,1999021106:19:08-480,I,1999021106:19:08-480,-900
0IHUMWM000X22MIG,B5NJ4ZXW5DOLHL0X,1999021106:21:54-480,I,1999021106:21:54-480,-900
0IHUMWM000X22MIG,PAJNOMIBCFWC9FUK,1999021106:22:02-480,I,1999021106:22:02-480,-900
0IHUXFR000XD3MIG,S5O7UYWQL08QVMOW,1999021106:26:36-480,I,1999021106:26:36-480,-900
0IHUXFR000XD3MIG,K0YU08PTW989QJB4,1999021106:26:42-480,I,1999021106:26:42-480,-900
0IHUXFR300XD3MIG,YNEFEP1P0JGHKJOF,1999021106:31:48-480,I,1999021106:31:48-480,-900
0IHUXFR300XD3MIG,Z8TQUTQC3NIHJKWO,1999021106:31:52-480,I,1999021106:31:52-480,-900
0IHUQVG130XD1MIG,HZ5CW642XEI0QACU,1999021106:35:04-480,I,1999021106:35:04-480,-900
0IHUQVG130XD1MIG,F2EUHXDD1XRWBV5G,1999021106:35:08-480,I,1999021106:35:08-480,-900
0IHUXFM2X0XD3MIG,EATYVVPPGTK5I6WS,1999021106:38:26-480,I,1999021106:38:26-480,-900
0IHUXFM2X0XD3MIG,ENKNY5Y01G79EE2O,1999021106:38:32-480,I,1999021106:38:32-480,-900
0IHUO2F000XD1MIG,Y7IWK4CIADD9FWGV,1999021106:42:24-480,I,1999021106:42:24-480,-900
0IHUO2F000XD1MIG,B7BPGK1XVF7YLO7J,1999021106:42:30-480,I,1999021106:42:30-480,-900
0IHUXFM000XD3MIG,V04OUJDPZQOQAJS3,1999021106:53:26-480,I,1999021106:53:26-480,-900
0IHUXFM000XD3MIG,E0BCQKIZ8IEZ2AL5,1999021106:53:32-480,I,1999021106:53:32-480,-900
0IHV2BQ000X31MIG,TOLHVHFZ8BUE5GWT,1999021106:56:52-480,I,1999021106:56:52-480,-900
0IHV2BQ000X31MIG,TU90D1C2AM7K43Y8,1999021106:56:58-480,I,1999021106:56:58-480,-900
0IHUPZV270XD3MIG,RJ6BAF2F9O3Q4Z8J,1999021107:00:12-480,I,1999021107:00:12-480,-900
0IHUPZV270XD3MIG,XRW2EAZ1RYFSP5SJ,1999021107:00:24-480,I,1999021107:00:24-480,-900
0IHUXFL000XD3MIG,BNDHUS8TS1NGUN9G,1999021107:03:40-480,I,1999021107:03:40-480,-900
0IHUXFL000XD3MIG,ZLH0G1LJ6NHIA9LD,1999021107:03:46-480,I,1999021107:03:46-480,-900
0IHUZ0G400XD7MIG,X619PC7D67AH8W52,1999021107:07:14-480,I,1999021107:07:14-480,-900
0IHUZ0G400XD7MIG,N2YQG887OS3GN2I3,1999021107:07:20-480,I,1999021107:07:20-480,-900
0IHUXFD000XD3MIG,A3DPOWXAUXOSTVER,1999021107:21:48-480,I,1999021107:21:48-480,-900
0IHUXFD000XD3MIG,SMKAIN208TG4FWW9,1999021107:22:06-480,I,1999021107:22:06-480,-900
0IHUL9C5U0XD3MIG,FVBYDQH1SKYJM36O,1999021107:26:04-480,I,1999021107:26:04-480,-900
0IHUL9C5U0XD3MIG,Y8N7L8QVNJGZ68T3,1999021107:26:12-480,I,1999021107:26:12-480,-900
0IHUXFE440XD3MIG,K9EC0TQBM6QWM8ZH,1999021107:29:18-480,I,1999021107:29:18-480,-900
0IHUXFE440XD3MIG,AGWGXXKG9C3HAPND,1999021107:29:24-480,I,1999021107:29:24-480,-900
0IHUXFS200XD3MIG,TTYFSYUX5HEW67BH,1999021107:30:04-480,I,1999021107:30:04-480,-900
0IHUXFS200XD3MIG,U25UZ10NPFKPGFHI,1999021107:30:16-480,I,1999021107:30:16-480,-900
0IHUPJ0000X23MIG,J3B6MF8245OZ67OU,1999021118:48:02-480,I,1999021118:48:02-480,-900
0IHUPJ0000X23MIG,QR49316KRHEON3YS,1999021118:48:12-480,I,1999021118:48:12-480,-900
0IHUXGB430XD3MIG,WKLRUF0TTOEX581A,1999021120:16:52-480,I,1999021120:16:52-480,-900
0IHUXGB430XD3MIG,KENHK0QQH0I79CG1,1999021120:17:08-480,I,1999021120:17:08-480,-900
0IHUZE9000XD7MIG,BB487RMPKK2AJV6M,1999021121:22:04-480,I,1999021121:22:04-480,-900
0IHUZE9000XD7MIG,WNS1F24IHVX42IUQ,1999021121:22:20-480,I,1999021121:22:20-480,-900
0IHULAQKD0XD3MIG,I5KYXHQBIPA9MVUE,1999021121:32:16-480,I,1999021121:32:16-480,-900
0IHULAQKD0XD3MIG,JI2Z338G7A30F1S7,1999021121:32:40-480,I,1999021121:32:40-480,-900
0IHV504000X30MIG,JH91H81F7LT8FW3T,1999021121:43:50-480,I,1999021121:43:50-480,-900
0IHV504000X30MIG,VSSTHKISGIC6SUYJ,1999021121:44:02-480,I,1999021121:44:02-480,-900
0IHUJSRQS0X23MIG,FV4OZLP1EYJTLUOL,1999021121:58:36-480,I,1999021121:58:36-480,-900
0IHUJSRQS0X23MIG,H1COPG6AJU54K883,1999021121:58:42-480,I,1999021121:58:42-480,-900
0IHULTT000X31MIG,JNZ96ANC0FF8M66O,1999021121:59:32-480,I,1999021121:59:32-480,-900
0IHULTT000X31MIG,LJH4Q7XL530W3WAO,1999021121:59:40-480,I,1999021121:59:40-480,-900
0IHVGDL000X44MIG,RQS6NA4MO9F7633R,1999021122:21:48-480,I,1999021122:21:48-480,-900
0IHVGDL000X44MIG,M83GCI5RI3Z7ZPSK,1999021122:22:02-480,I,1999021122:22:02-480,-900
0IHV2MV060X31MIG,Z758ULAH77U5QY0Y,1999021202:15:02-480,I,1999021202:15:02-480,-900
0IHV2MV060X31MIG,WJIYGCVMXKC9P7YR,1999021202:15:10-480,I,1999021202:15:10-480,-900
0IHUXGC2U0XD3MIG,Q2K3MSEMP1SDE5P5,1999021202:42:08-480,I,1999021202:42:08-480,-900
0IHUXGC2U0XD3MIG,XXU4Y5KVR6DQ0M9R,1999021202:42:14-480,I,1999021202:42:14-480,-900
0IHUJV11V0X22MIG,Y0B7B6PX1VUS5YAN,1999021202:46:08-480,I,1999021202:46:08-480,-900
0IHUJV11V0X22MIG,B4NND27L7NW1IBJR,1999021202:46:16-480,I,1999021202:46:16-480,-900
0IHVKZG200X84MIG,A48NAFEQFU66JX4M,1999021202:50:06-480,I,1999021202:50:06-480,-900
0IHVKZG200X84MIG,V763IMZ6I97KJLMY,1999021202:50:16-480,I,1999021202:50:16-480,-900
0IHVNN91M0X83MIG,NMEO7WGW8LT7A0P0,1999021203:00:12-480,I,1999021203:00:12-480,-900
0IHVNN91M0X83MIG,DZ50LPYOJJ5XWC49,1999021203:00:20-480,I,1999021203:00:20-480,-900
0IHULBLVQ0XD3MIG,K60I1WXGSLRAG5FE,1999021203:07:12-480,I,1999021203:07:12-480,-900
0IHULBLVQ0XD3MIG,WM1DP835F6QPLH3S,1999021203:07:20-480,I,1999021203:07:20-480,-900
0IHUOWL160X22MIG,UXKDDBSIIKLT5OWK,1999021203:12:32-480,I,1999021203:12:32-480,-900
0IHUOWL160X22MIG,J7ZKY6EVYHM7HJP6,1999021203:12:40-480,I,1999021203:12:40-480,-900
0IHUWLN000XD7MIG,RB1P2HTIFCPE6RQX,1999021203:16:32-480,I,1999021203:16:32-480,-900
0IHUWLN000XD7MIG,QID7PREUBWTH1E0T,1999021203:16:40-480,I,1999021203:16:40-480,-900
0IHVACO000X41MIG,QIBE5R00NH9UY4SZ,1999021203:20:06-480,I,1999021203:20:06-480,-900
0IHVACO000X41MIG,X8LBMR5K7VRT8R77,1999021203:20:16-480,I,1999021203:20:16-480,-900
0IHUKGU000X22MIG,LSY398XF19FTZBXW,1999021203:24:24-480,I,1999021203:24:24-480,-900
0IHUKGU000X22MIG,UWDJOREZ9ZGPF11X,1999021203:24:28-480,I,1999021203:24:28-480,-900
0IHUW36000X31MIG,DGMDN1C9TY5QAIBL,1999021203:29:32-480,I,1999021203:29:32-480,-900
0IHUW36000X31MIG,H2BL0EI1I74VH8CR,1999021203:29:48-480,I,1999021203:29:48-480,-900
0IHVNDN9T0X83MIG,GU4OV5T4SFURPVTQ,1999021203:33:20-480,I,1999021203:33:20-480,-900
0IHVNDN9T0X83MIG,PNE351FW9OJFVOBX,1999021203:33:28-480,I,1999021203:33:28-480,-900
0IHUKYN000XD1MIG,XVEGG04H2P5A0H3U,1999021203:38:00-480,I,1999021203:38:00-480,-900
0IHUKYN000XD1MIG,BH9FOVIX7GXFXMA7,1999021203:38:08-480,I,1999021203:38:08-480,-900
0IHUXGD2A0XD3MIG,TMHLF6LO2RCCMT1V,1999021203:40:58-480,I,1999021203:40:58-480,-900
0IHUXGD2A0XD3MIG,RJ6N94BRR23YY99G,1999021203:41:08-480,I,1999021203:41:08-480,-900
0IHUXGI260XD3MIG,ZWLI7OT0TX2TGP3B,1999021203:50:30-480,I,1999021203:50:30-480,-900
0IHUXGI260XD3MIG,MIS3BC70RBZNF6SP,1999021203:50:36-480,I,1999021203:50:36-480,-900
0IHUOGC1C0XD3MIG,KBVKXXUFUS39U85R,1999021206:05:04-480,I,1999021206:05:04-480,-900
0IHUOGC1C0XD3MIG,QO3LYSO68173RCF2,1999021206:05:12-480,I,1999021206:05:12-480,-900
0IHUXGJ000XD3MIG,A9XFOP9FUZBFB3GF,1999021206:08:34-480,I,1999021206:08:34-480,-900
0IHUXGJ000XD3MIG,RKJORVNMGRP6NZRN,1999021206:08:42-480,I,1999021206:08:42-480,-900
0IHUL172M0XD1MIG,YAHBHTF98YISBOM3,1999021206:11:38-480,I,1999021206:11:38-480,-900
0IHUL172M0XD1MIG,L34R6DPC3HN4UVA4,1999021206:11:48-480,I,1999021206:11:48-480,-900
0IHUXGN3P0XD3MIG,QG54C46HTD4G4ICQ,1999021206:22:28-480,I,1999021206:22:28-480,-900
0IHUXGN3P0XD3MIG,OR2F63O40V7SX15S,1999021206:22:36-480,I,1999021206:22:36-480,-900
0IHUUGQ000XD3MIG,MPN9C64AH1PRZ9MA,1999021206:26:26-480,I,1999021206:26:26-480,-900
0IHUUGQ000XD3MIG,BVDSW46LCUJV34XO,1999021206:26:34-480,I,1999021206:26:34-480,-900
0IHUXGN000XD3MIG,N86V50WY3PQPBEXX,1999021206:29:58-480,I,1999021206:29:58-480,-900
0IHUXGN000XD3MIG,IS2LGKUTB2MQA8W4,1999021206:30:04-480,I,1999021206:30:04-480,-900
0IHUQXF000XD3MIG,IIM3THLVOPX69CFK,1999021206:33:56-480,I,1999021206:33:56-480,-900
0IHUQXF000XD3MIG,CKVG1WKEWHWEBU8W,1999021206:34:06-480,I,1999021206:34:06-480,-900
0IHUXGL000XD3MIG,TIZ6TXDYJYBLO3EB,1999021206:37:42-480,I,1999021206:37:42-480,-900
0IHUXGL000XD3MIG,OY1JFQF1Z5TQ8TZ8,1999021206:37:48-480,I,1999021206:37:48-480,-900
0IHV5QE1A0XD1MIG,ICWJW1VVT39RU011,1999021206:41:14-480,I,1999021206:41:14-480,-900
0IHV5QE1A0XD1MIG,MAXFJ5D2PTT1L9BB,1999021206:41:26-480,I,1999021206:41:26-480,-900
0IHUTY4000XD3MIG,MTFDWZZQX054VUVC,1999021206:45:50-480,I,1999021206:45:50-480,-900
0IHUTY4000XD3MIG,IXP09M9CMEGA1FBN,1999021206:45:58-480,I,1999021206:45:58-480,-900
0IHUXGG3W0XD3MIG,NBSRX2LU8A544TMI,1999021207:10:14-480,I,1999021207:10:14-480,-900
0IHUXGG3W0XD3MIG,GAJACRB1H7UIHEVU,1999021207:10:22-480,I,1999021207:10:22-480,-900
0IHUYHQ000XD7MIG,OT5U07DDI4FF1QTC,1999021207:25:00-480,I,1999021207:25:00-480,-900
0IHUYHQ000XD7MIG,Q1MDLVNV7GB51IMT,1999021207:25:16-480,I,1999021207:25:16-480,-900
0IHUP6S0C0X22MIG,ZGRQ5CJ16MPG1V82,1999021216:58:26-480,I,1999021216:58:26-480,-900
0IHUP6S0C0X22MIG,PFTOF7YN7TBZW7Q8,1999021216:58:52-480,I,1999021216:58:52-480,-900
0IHUQAU0V0XD3MIG,MI6Z787V8DES97VF,1999021217:11:50-480,I,1999021217:11:50-480,-900
0IHUQAU0V0XD3MIG,YZ6SRTE5I3EKUY2E,1999021217:12:06-480,I,1999021217:12:06-480,-900
0IHVM39X30X85MIG,UA2DU3UMASE3SJIP,1999021217:21:14-480,I,1999021217:21:14-480,-900
0IHVM39X30X85MIG,N9SLPBGC011VKQ24,1999021217:21:28-480,I,1999021217:21:28-480,-900
0IHUR0U2Y0XD3MIG,A4KFO2EKLR95NDPA,1999021217:37:16-480,I,1999021217:37:16-480,-900
0IHUR0U2Y0XD3MIG,NT7N85SQKZIA6SEB,1999021217:37:36-480,I,1999021217:37:36-480,-900
0IHUXH1000XD3MIG,CLUMUWKV8B2AAW0B,1999021217:51:26-480,I,1999021217:51:26-480,-900
0IHUXH1000XD3MIG,YCJACDVHEA3NFZR5,1999021217:51:36-480,I,1999021217:51:36-480,-900
0IHUXH3000XD3MIG,CWQINMTH5EFH4OZ8,1999021218:05:56-480,I,1999021218:05:56-480,-900
0IHUXH3000XD3MIG,EHCXJTFA4D2RW3JE,1999021218:06:34-480,I,1999021218:06:34-480,-900
0IHUXH5000XD3MIG,VXY7PQBKWU0KHQEX,1999021218:18:14-480,I,1999021218:18:14-480,-900
0IHUXH5000XD3MIG,F9IPUP69JWHP84FC,1999021218:18:34-480,I,1999021218:18:34-480,-900
0IHUXH8000XD3MIG,V9OPCU4GYJRPYHEX,1999021218:57:18-480,I,1999021218:57:18-480,-900
0IHUXH8000XD3MIG,VV5QWB226WMR4NNY,1999021218:57:30-480,I,1999021218:57:30-480,-900
0IHUQIM060XD3MIG,FBA3DDEBBSPXRQHU,1999021219:07:58-480,I,1999021219:07:58-480,-900
0IHUQIM060XD3MIG,X3DKM9D964B7WZG3,1999021219:08:12-480,I,1999021219:08:12-480,-900
0IHUWFSVR0XD7MIG,KZIBSO7869UB3ZTQ,1999021219:21:10-480,I,1999021219:21:10-480,-900
0IHUWFSVR0XD7MIG,Z1AJ372XICFQBK8G,1999021219:21:26-480,I,1999021219:21:26-480,-900
0IHULSP1F0XD2MIG,X2BN8AQQ0YEX3EOM,1999021220:08:14-480,I,1999021220:08:14-480,-900
0IHULSP1F0XD2MIG,QULND7XN8H6WER9H,1999021220:08:26-480,I,1999021220:08:26-480,-900
0IHV4E2390XD1MIG,XZT0MNJEGCI9VBGA,1999021220:13:16-480,I,1999021220:13:16-480,-900
0IHV4E2390XD1MIG,F5C7C35F4L81KBHP,1999021220:13:20-480,I,1999021220:13:20-480,-900
0IHUXH92D0XD3MIG,BEK5HC28RY0TEWZD,1999021220:28:10-480,I,1999021220:28:10-480,-900
0IHUXH92D0XD3MIG,AET41QC1FZD5586A,1999021220:28:18-480,I,1999021220:28:18-480,-900
0IHUL8TQM0XD3MIG,GJGWM4N7S4MBWVFX,1999021222:19:24-480,I,1999021222:19:24-480,-900
0IHUL8TQM0XD3MIG,ZMQ6819OTG9JBBBI,1999021222:19:32-480,I,1999021222:19:32-480,-900
0IHUYS8000XD2MIG,IF979N2LO7YV2ZVC,1999021222:20:46-480,I,1999021222:20:46-480,-900
0IHUYS8000XD2MIG,KSP9KZWMXEOO0VWY,1999021222:20:58-480,I,1999021222:20:58-480,-900
0IHV0Z8000X30MIG,OLFN9TBSMMQBS17B,1999021222:22:38-480,I,1999021222:22:38-480,-900
0IHV0Z8000X30MIG,X08K68THKSAKWSPM,1999021222:22:46-480,I,1999021222:22:46-480,-900
0IHUWY4000XD3MIG,FMQ4Q3YH89DDT426,1999021222:28:48-480,I,1999021222:28:48-480,-900
0IHUWY4000XD3MIG,RVXH54LQIQ7V86HA,1999021222:28:58-480,I,1999021222:28:58-480,-900
0IHUXHD000XD3MIG,S4MM9OBKJ5Q3YSEK,1999021222:39:14-480,I,1999021222:39:14-480,-900
0IHUXHD000XD3MIG,TSBEIGQH5DJTKUAE,1999021222:39:24-480,I,1999021222:39:24-480,-900
0IHUL8F9S0XD3MIG,STG92D6P91NNUI23,1999021301:25:50-480,I,1999021301:25:50-480,-900
0IHUL8F9S0XD3MIG,VNYCHBL20KZPFNND,1999021301:25:58-480,I,1999021301:25:58-480,-900
0IHV6ZZ060X30MIG,CDMGKON86H7I6WR1,1999021301:30:32-480,I,1999021301:30:32-480,-900
0IHV6ZZ060X30MIG,OGQ7PLQ4LCDTLQ58,1999021301:30:40-480,I,1999021301:30:40-480,-900
0IHUQAU000XD2MIG,ZIPCGJJG1TYVAKVZ,1999021301:35:30-480,I,1999021301:35:30-480,-900
0IHUQAU000XD2MIG,C8NQJJQG9V3V8UIB,1999021301:35:36-480,I,1999021301:35:36-480,-900
0IHUSNL0V0XD3MIG,RAQ1HIWYBQS4XY3X,1999021301:39:48-480,I,1999021301:39:48-480,-900
0IHUSNL0V0XD3MIG,JA5RA0FVF7V0P3BI,1999021301:39:54-480,I,1999021301:39:54-480,-900
0IHUL8HG80XD3MIG,J1RJGBWIO3HNB5V3,1999021302:13:46-480,I,1999021302:13:46-480,-900
0IHUL8HG80XD3MIG,NF08647VCF3ZNDWH,1999021302:13:52-480,I,1999021302:13:52-480,-900
0IHUK0F000X30MIG,DLAI5414FDH1XXF8,1999021302:56:24-480,I,1999021302:56:24-480,-900
0IHUK0F000X30MIG,M2WEPCCGBWP6SXMZ,1999021302:56:28-480,I,1999021302:56:28-480,-900
0IHUK33000X30MIG,R46DN19S4VC6VAO2,1999021303:00:22-480,I,1999021303:00:22-480,-900
0IHUK33000X30MIG,Z3DPPB041H3RCMRD,1999021303:00:26-480,I,1999021303:00:26-480,-900
0IHUXHJ000XD3MIG,C2EQ3GFP91R2GLKZ,1999021303:04:48-480,I,1999021303:04:48-480,-900
0IHUXHJ000XD3MIG,KYVDILU15E0R8KWF,1999021303:04:52-480,I,1999021303:04:52-480,-900
0IHUXHI000XD3MIG,XD47S3UDZJ0SXD54,1999021303:14:46-480,I,1999021303:14:46-480,-900
0IHUXHI000XD3MIG,UORPP75484KEC8YX,1999021303:14:54-480,I,1999021303:14:54-480,-900
0IHUXHP000XD3MIG,FZZRVV4CSPKITP25,1999021304:10:12-480,I,1999021304:10:12-480,-900
0IHUXHP000XD3MIG,OM8PGSNSQSP1IJLG,1999021304:10:20-480,I,1999021304:10:20-480,-900
0IHUR8X000XD3MIG,RYS7D4IHF8MX1P7I,1999021304:18:20-480,I,1999021304:18:20-480,-900
0IHUR8X000XD3MIG,MBF0JKLL0M64SZFE,1999021304:18:28-480,I,1999021304:18:28-480,-900
0IHUXHQ3A0XD3MIG,Q36ZSSI44SG3CEV6,1999021304:24:16-480,I,1999021304:24:16-480,-900
0IHUXHQ3A0XD3MIG,YY3VKEXJMT6EE753,1999021304:24:22-480,I,1999021304:24:22-480,-900
0IHUXHR1N0XD3MIG,PUP15BK07WGNBOGA,1999021304:38:08-480,I,1999021304:38:08-480,-900
0IHUXHR1N0XD3MIG,SRF0ROR7L81BNUB8,1999021304:38:16-480,I,1999021304:38:16-480,-900
0IHUTCG090XD3MIG,YV1V86SI5CKJLS52,1999021304:46:20-480,I,1999021304:46:20-480,-900
0IHUTCG090XD3MIG,NZ594UB5OONV4T5D,1999021304:46:24-480,I,1999021304:46:24-480,-900
0IHVPVX000X84MIG,ZRJDWKEE69ZLJPQP,1999021304:52:28-480,I,1999021304:52:28-480,-900
0IHVPVX000X84MIG,WDO8Y7I55R461AZ5,1999021304:52:36-480,I,1999021304:52:36-480,-900
0IHUXHM000XD3MIG,VHT9AQVOLHD608R9,1999021304:58:26-480,I,1999021304:58:26-480,-900
0IHUXHM000XD3MIG,P9V35VQNKN5F901X,1999021304:58:38-480,I,1999021304:58:38-480,-900
0IHUXHG0Y0XD3MIG,PD85HBTRZBQM9484,1999021305:02:32-480,I,1999021305:02:32-480,-900
0IHUXHG0Y0XD3MIG,XFCIQI8MU4SZPS7Q,1999021305:02:38-480,I,1999021305:02:38-480,-900
0IHUXHO270XD3MIG,VC9ZYBHX34Y99TH7,1999021305:31:20-480,I,1999021305:31:20-480,-900
0IHUXHO270XD3MIG,C4YZH19CJ1JZWW52,1999021305:31:32-480,I,1999021305:31:32-480,-900
0IHUXHW000XD3MIG,Z9QHO6CC6YLI5V36,1999021306:03:14-480,I,1999021306:03:14-480,-900
0IHUXHW000XD3MIG,GFH4HFFVUAGONZ3P,1999021306:03:20-480,I,1999021306:03:20-480,-900
0IHUXHX000XD3MIG,EK5BKTC5CCJIL3S5,1999021306:07:38-480,I,1999021306:07:38-480,-900
0IHUXHX000XD3MIG,IDTB7WSWGB1PLEPX,1999021306:07:44-480,I,1999021306:07:44-480,-900
0IHUU2P160XD3MIG,YAKRPZ78GNCYKKPF,1999021306:11:44-480,I,1999021306:11:44-480,-900
0IHUU2P160XD3MIG,FX3EMLIBS4WT73G5,1999021306:11:50-480,I,1999021306:11:50-480,-900
0IHUXHT000XD3MIG,CE9W5CFHQHOS3766,1999021306:15:56-480,I,1999021306:15:56-480,-900
0IHUXHT000XD3MIG,RVDYBHNFVIBR9TAK,1999021306:16:02-480,I,1999021306:16:02-480,-900
0IHUXHY440XD3MIG,R0VDTSQFR0NWL604,1999021306:23:42-480,I,1999021306:23:42-480,-900
0IHUXHY440XD3MIG,PJSAHSEL09DS2053,1999021306:23:46-480,I,1999021306:23:46-480,-900
0IHUWKP1N0XD3MIG,GXUZ7CFFFG5KRFT2,1999021306:27:42-480,I,1999021306:27:42-480,-900
0IHUWKP1N0XD3MIG,FUSO9VIE47UWMTJM,1999021306:27:48-480,I,1999021306:27:48-480,-900
0IHUQPT270XD1MIG,YCLYFG61DKB2CAZ0,1999021310:53:34-480,I,1999021310:53:34-480,-900
0IHUQPT270XD1MIG,ZFQERG9SZQE72ZY0,1999021310:53:46-480,I,1999021310:53:46-480,-900
0IHUXIG000XD3MIG,CDYYSEAHECJ3PXT5,1999021316:54:14-480,I,1999021316:54:14-480,-900
0IHUXIG000XD3MIG,CY85QAYBKT1HUYKV,1999021316:54:34-480,I,1999021316:54:34-480,-900
0IHVN9A000X84MIG,Z08230TJT4ZFI2EJ,1999021317:49:20-480,I,1999021317:49:20-480,-900
0IHVN9A000X84MIG,N80HYETH05FHPV79,1999021317:49:44-480,I,1999021317:49:44-480,-900
0IHUXIO060XD3MIG,J2JC0XIER1TQ6880,1999021317:57:30-480,I,1999021317:57:30-480,-900
0IHUXIO060XD3MIG,V8OQ5UE8IG4GGG2Z,1999021317:57:42-480,I,1999021317:57:42-480,-900
0IHV1NJ000XD1MIG,E9HP113NZ3CWTHOY,1999021321:13:02-480,I,1999021321:13:02-480,-900
0IHV1NJ000XD1MIG,LR9IISMXQL7ZD44Z,1999021321:13:16-480,I,1999021321:13:16-480,-900
0IHUXIS2I0XD3MIG,PL3GAXAKXW3BKRUE,1999021321:24:40-480,I,1999021321:24:40-480,-900
0IHUXIS2I0XD3MIG,XAGT1D66OMDFIA39,1999021321:24:48-480,I,1999021321:24:48-480,-900
0IHUXIR000XD3MIG,N9E597VZP6AQ2YSR,1999021321:25:58-480,I,1999021321:25:58-480,-900
0IHUXIR000XD3MIG,UJD156NC4J31BLEA,1999021321:26:06-480,I,1999021321:26:06-480,-900
0IHUXIT2Q0XD3MIG,L67Y15EFK80QGZER,1999021322:45:02-480,I,1999021322:45:02-480,-900
0IHUXIT2Q0XD3MIG,GIVM3VUT3KJ286DJ,1999021322:45:12-480,I,1999021322:45:12-480,-900
0IHVNKQVC0X83MIG,WUGHVYG2LN1E1T4J,1999021323:00:10-480,I,1999021323:00:10-480,-900
0IHVNKQVC0X83MIG,YGQSF3O3HQVIGZ0W,1999021323:00:22-480,I,1999021323:00:22-480,-900
0IHVA7Z000X41MIG,CSYCRM3MP21969MJ,1999021405:04:08-480,I,1999021405:04:08-480,-900
0IHVA7Z000X41MIG,NGU2OANR5SH1WZN1,1999021405:04:20-480,I,1999021405:04:20-480,-900
0IHUXIV000XD3MIG,YK2S0QPGBDKQJMCJ,1999021405:06:24-480,I,1999021405:06:24-480,-900
0IHUXIV000XD3MIG,KBJPVSPLWAJN37VA,1999021405:06:36-480,I,1999021405:06:36-480,-900
0IHUXIY000XD3MIG,WBZG2DCS0KI6BGRI,1999021406:21:14-480,I,1999021406:21:14-480,-900
0IHUXIY000XD3MIG,AOXP72CL15ZWUXQY,1999021406:21:26-480,I,1999021406:21:26-480,-900
0IHULB08B0XD3MIG,OOKUUVELCOFHN796,1999021406:32:32-480,I,1999021406:32:32-480,-900
0IHULB08B0XD3MIG,PF5I1IQ6XORJDS1E,1999021406:32:50-480,I,1999021406:32:50-480,-900
0IHUL5L000X23MIG,TB380HPDAGKVA045,1999021406:39:02-480,I,1999021406:39:02-480,-900
0IHUL5L000X23MIG,GKTKGRIEKVATJ4PE,1999021406:39:14-480,I,1999021406:39:14-480,-900
0IHVOKK000X84MIG,I8FJJUFIJ9N7TEIW,1999021406:50:54-480,I,1999021406:50:54-480,-900
0IHVOKK000X84MIG,ZCAQ16Z3P60E9Y0Y,1999021406:51:02-480,I,1999021406:51:02-480,-900
0IHV320000XD2MIG,UGCJ0IFH65P7N1PR,1999021406:54:24-480,I,1999021406:54:24-480,-900
0IHV320000XD2MIG,UI9Q8HNQOEXU254U,1999021406:54:34-480,I,1999021406:54:34-480,-900
0IHUXIZ000XD3MIG,CIY4AXDE4UBDP2NL,1999021408:40:32-480,I,1999021408:40:32-480,-900
0IHUXIZ000XD3MIG,IEC2O71NYBXO694P,1999021408:40:40-480,I,1999021408:40:40-480,-900
0IHUXJU1H0XD3MIG,YRLH2SL50SNE30MS,1999021415:58:28-480,I,1999021415:58:28-480,-900
0IHUXJU1H0XD3MIG,K5HNHLDXZZKEVI3L,1999021415:58:44-480,I,1999021415:58:44-480,-900
0IHUXJW190XD3MIG,OUD8FMB9FXV2KRL2,1999021416:19:14-480,I,1999021416:19:14-480,-900
0IHUXJW190XD3MIG,DEI99IJIUCQ27LZC,1999021416:19:26-480,I,1999021416:19:26-480,-900
0IHUKNK000X31MIG,OFMREONOPB6O47C0,1999021416:26:26-480,I,1999021416:26:26-480,-900
0IHUKNK000X31MIG,KTH7PQ7CO1JTA2NN,1999021416:26:42-480,I,1999021416:26:42-480,-900
0IHUXJT1C0XD3MIG,F68VZ11CH2NI9DMM,1999021416:31:34-480,I,1999021416:31:34-480,-900
