LOAD DATA
INFILE *
APPEND
INTO TABLE macomb.mt_epicimage
FIELDS TERMINATED BY ',' OPTIONALLY ENCLOSED BY '"'
(IMAGEREF,VOLUMEID,ARCHIVEFLAG,IMAGEFILENAME)
YAUT83NVX7ORTA68,VOL199901,N,YAUT83NVX7ORTA68.JPG
ZFI0ODBFHEDTVBHU,VOL199901,N,ZFI0ODBFHEDTVBHU.JPG
KWNGDUBSWIZ1OFDD,VOL199901,N,KWNGDUBSWIZ1OFDD.JPG
R3TY7IOWXOB0SW5K,VOL199901,N,R3TY7IOWXOB0SW5K.JPG
UXIJCOIO3ADEM3G7,VOL199901,N,UXIJCOIO3ADEM3G7.JPG
WQ8LSREKBZN5Q7L6,VOL199901,N,WQ8LSREKBZN5Q7L6.JPG
OSXF41EDWHU1K3ZR,VOL199901,N,OSXF41EDWHU1K3ZR.JPG
IJL4U7R1P6R9FJHW,VOL199901,N,IJL4U7R1P6R9FJHW.JPG
DX68229C7YMKEPJ0,VOL199901,N,DX68229C7YMKEPJ0.JPG
RF4CYQP0WHLFJLTX,VOL199901,N,RF4CYQP0WHLFJLTX.JPG
TTBY2I9P5IPD3KM9,VOL199901,N,TTBY2I9P5IPD3KM9.JPG
BXZPZHYKFDBPRFIR,VOL199901,N,BXZPZHYKFDBPRFIR.JPG
NZM43TOJARSHG0LL,VOL199901,N,NZM43TOJARSHG0LL.JPG
ZL776R0B7LWLEFIC,VOL199901,N,ZL776R0B7LWLEFIC.JPG
WZQRP488TOXZWALT,VOL199901,N,WZQRP488TOXZWALT.JPG
R7SQYOD3F98S99JT,VOL199901,N,R7SQYOD3F98S99JT.JPG
HYNW26FAM5LPK1WP,VOL199901,N,HYNW26FAM5LPK1WP.JPG
AGRPSXSPX6IU4RBM,VOL199901,N,AGRPSXSPX6IU4RBM.JPG
HRH4ZNS27ZLDJLW9,VOL199901,N,HRH4ZNS27ZLDJLW9.JPG
T7MA0H9PXI8VUZ4B,VOL199901,N,T7MA0H9PXI8VUZ4B.JPG
F2ZINNBSA5VGU7GH,VOL199901,N,F2ZINNBSA5VGU7GH.JPG
MOMJD0CJ0ODVCD4Z,VOL199901,N,MOMJD0CJ0ODVCD4Z.JPG
QVVD87S8FRSQHQNS,VOL199901,N,QVVD87S8FRSQHQNS.JPG
L4WTWU8RI5TLXZL0,VOL199901,N,L4WTWU8RI5TLXZL0.JPG
AFX4YYZLBYD3BQNV,VOL199901,N,AFX4YYZLBYD3BQNV.JPG
PAUG0SJ8MFOAUVUW,VOL199901,N,PAUG0SJ8MFOAUVUW.JPG
I9R4ITWL5L5JG03E,VOL199901,N,I9R4ITWL5L5JG03E.JPG
LDZWPUS5BVCLQNSB,VOL199901,N,LDZWPUS5BVCLQNSB.JPG
GGYR7W8T68HRYVB4,VOL199901,N,GGYR7W8T68HRYVB4.JPG
PA1XEATJ2I4BQNTN,VOL199901,N,PA1XEATJ2I4BQNTN.JPG
QM3I3CRL4SYRRSNQ,VOL199901,N,QM3I3CRL4SYRRSNQ.JPG
UPJVCHGWXDB7L46Q,VOL199901,N,UPJVCHGWXDB7L46Q.JPG
MD2PEW1C58E9J7RO,VOL199901,N,MD2PEW1C58E9J7RO.JPG
EAV20RARUXUIS6NE,VOL199901,N,EAV20RARUXUIS6NE.JPG
PJX5HF4S085BM73B,VOL199901,N,PJX5HF4S085BM73B.JPG
CE41Q5DFQCJ1A2SX,VOL199901,N,CE41Q5DFQCJ1A2SX.JPG
ZB6AF9L3MPJOLHBK,VOL199901,N,ZB6AF9L3MPJOLHBK.JPG
V0MM9A2P80WLOZXZ,VOL199901,N,V0MM9A2P80WLOZXZ.JPG
TTVCINTZ7QW34VVA,VOL199901,N,TTVCINTZ7QW34VVA.JPG
EHPZ6QYD4X79TQMQ,VOL199901,N,EHPZ6QYD4X79TQMQ.JPG
BE27Y8MHA4WT6Z84,VOL199901,N,BE27Y8MHA4WT6Z84.JPG
EG1X4AOFGP2CY18O,VOL199901,N,EG1X4AOFGP2CY18O.JPG
XO12WK6KFA3A3HS1,VOL199901,N,XO12WK6KFA3A3HS1.JPG
LT7C89J2MASTVU9Z,VOL199901,N,LT7C89J2MASTVU9Z.JPG
K6UJ8G0YWC5QHZKY,VOL199901,N,K6UJ8G0YWC5QHZKY.JPG
SKT8LRPSUJLXNHVT,VOL199901,N,SKT8LRPSUJLXNHVT.JPG
J14897KLU2702R9B,VOL199901,N,J14897KLU2702R9B.JPG
J60O899RD9WW644J,VOL199901,N,J60O899RD9WW644J.JPG
JBVY85XMNLVUATUG,VOL199901,N,JBVY85XMNLVUATUG.JPG
S69LX5NCBNR6A9EC,VOL199901,N,S69LX5NCBNR6A9EC.JPG
ZB7SKB9HN4IQUNAH,VOL199901,N,ZB7SKB9HN4IQUNAH.JPG
KW23RIY6VT1EOOSQ,VOL199901,N,KW23RIY6VT1EOOSQ.JPG
FMG06RZIUJXD1NVH,VOL199901,N,FMG06RZIUJXD1NVH.JPG
GH92F947HJAI3B5V,VOL199901,N,GH92F947HJAI3B5V.JPG
BVQO647SZVVRHWC1,VOL199901,N,BVQO647SZVVRHWC1.JPG
JKCYWCK6RIEKC4FG,VOL199901,N,JKCYWCK6RIEKC4FG.JPG
JQ5PJJDWEV3RBVWX,VOL199901,N,JQ5PJJDWEV3RBVWX.JPG
QTDFRI6EADQHMMPD,VOL199901,N,QTDFRI6EADQHMMPD.JPG
UNTV96D70VRB1755,VOL199901,N,UNTV96D70VRB1755.JPG
RH7WN0NGTLW9NANQ,VOL199901,N,RH7WN0NGTLW9NANQ.JPG
JF2U1CFML8U9JW2X,VOL199901,N,JF2U1CFML8U9JW2X.JPG
I3T69O5K2X9SNJ5E,VOL199901,N,I3T69O5K2X9SNJ5E.JPG
V1D2ZP88OTFQKBF0,VOL199901,N,V1D2ZP88OTFQKBF0.JPG
UFLPWKL95DHPKDVZ,VOL199901,N,UFLPWKL95DHPKDVZ.JPG
ZL0UM6E8MUCAPMSJ,VOL199901,N,ZL0UM6E8MUCAPMSJ.JPG
