LOAD DATA
INFILE *
APPEND
INTO TABLE macomb.mt_eh_nist_mugshot
FIELDS TERMINATED BY ',' OPTIONALLY ENCLOSED BY '"'
(PHOTO_ID,IMAGE_POSE,POSE_OFFSET_ANGLE,GLASSES_FLAG,HAT_FLAG,SCARF_FLAG,PHYSICAL_FLAG,OTHER_FLAG,DESCRIPTION,ACTION_TYPE,ACTION_TIME,ACTION_BY)
D2RA3NUCX2Q81IMC,SIDE,L90,N,N,N,N,N,,I,1999021102:09:02-480,-900
NO58WZWVR97QDXBX,FRONT,F0,N,N,N,N,N,,I,1999021102:16:26-480,-900
HKTR4HWN7K9WNBQI,SIDE,L90,N,N,N,N,N,,I,1999021102:16:32-480,-900
YI7NL5K5NKQOC3MM,FRONT,F0,N,N,N,N,N,,I,1999021102:18:12-480,-900
HL057AL976UEH42L,SIDE,L90,N,N,N,N,N,,I,1999021102:18:20-480,-900
YZDUWNNOPZ806YHR,FRONT,F0,N,N,N,N,N,,I,1999021102:22:18-480,-900
T00JW7BCDHQF2VUV,SIDE,L90,N,N,N,N,N,,I,1999021102:22:30-480,-900
GY0E853MYB98SN5S,FRONT,F0,N,N,N,N,N,,I,1999021102:25:50-480,-900
A1TNI7SLBW2RNBY0,SIDE,L90,N,N,N,N,N,,I,1999021102:25:54-480,-900
HFD72PM5X3XEICGT,FRONT,F0,N,N,N,N,N,,I,1999021102:29:58-480,-900
DC3BIAQO2V1AFOME,SIDE,L90,N,N,N,N,N,,I,1999021102:30:02-480,-900
Z3B86XYD3OTFNRZ5,FRONT,F0,N,N,N,N,N,,I,1999021106:00:04-480,-900
GQ6ON1NXXVQF3VB4,SIDE,L90,N,N,N,N,N,,I,1999021106:00:22-480,-900
L9933HLGOW3380I6,FRONT,F0,N,N,N,N,N,,I,1999021106:03:20-480,-900
DQQIQZPGU67KYV7X,SIDE,L90,N,N,N,N,N,,I,1999021106:03:26-480,-900
KPXQMFAOFIKI4IQE,FRONT,F0,N,N,N,N,N,,I,1999021106:06:46-480,-900
TXBX6CIK5VJBT40Y,SIDE,L90,N,N,N,N,N,,I,1999021106:06:52-480,-900
JBIEML8N9VOOSXDM,FRONT,F0,N,N,N,N,N,,I,1999021106:09:38-480,-900
Q56WOW9URJA9WJG3,SIDE,L90,N,N,N,N,N,,I,1999021106:09:44-480,-900
FGOBZEHVL1KWRDDU,FRONT,F0,N,N,N,N,N,,I,1999021106:14:42-480,-900
VDT0C8Y2FKRQM3TZ,SIDE,L90,N,N,N,N,N,,I,1999021106:14:48-480,-900
YBN537SDGRU3UIT1,FRONT,F0,N,N,N,N,N,,I,1999021106:19:02-480,-900
ZIH5XKD8FDCHW09G,SIDE,L90,N,N,N,N,N,,I,1999021106:19:08-480,-900
B5NJ4ZXW5DOLHL0X,FRONT,F0,N,N,N,N,N,,I,1999021106:21:54-480,-900
PAJNOMIBCFWC9FUK,SIDE,L90,N,N,N,N,N,,I,1999021106:22:02-480,-900
S5O7UYWQL08QVMOW,FRONT,F0,N,N,N,N,N,,I,1999021106:26:36-480,-900
K0YU08PTW989QJB4,SIDE,L90,N,N,N,N,N,,I,1999021106:26:42-480,-900
YNEFEP1P0JGHKJOF,FRONT,F0,N,N,N,N,N,,I,1999021106:31:48-480,-900
Z8TQUTQC3NIHJKWO,SIDE,L90,N,N,N,N,N,,I,1999021106:31:52-480,-900
HZ5CW642XEI0QACU,FRONT,F0,N,N,N,N,N,,I,1999021106:35:04-480,-900
F2EUHXDD1XRWBV5G,SIDE,L90,N,N,N,N,N,,I,1999021106:35:08-480,-900
EATYVVPPGTK5I6WS,FRONT,F0,N,N,N,N,N,,I,1999021106:38:26-480,-900
ENKNY5Y01G79EE2O,SIDE,L90,N,N,N,N,N,,I,1999021106:38:32-480,-900
Y7IWK4CIADD9FWGV,FRONT,F0,N,N,N,N,N,,I,1999021106:42:24-480,-900
B7BPGK1XVF7YLO7J,SIDE,L90,N,N,N,N,N,,I,1999021106:42:30-480,-900
V04OUJDPZQOQAJS3,FRONT,F0,N,N,N,N,N,,I,1999021106:53:26-480,-900
E0BCQKIZ8IEZ2AL5,SIDE,L90,N,N,N,N,N,,I,1999021106:53:32-480,-900
TOLHVHFZ8BUE5GWT,FRONT,F0,N,N,N,N,N,,I,1999021106:56:52-480,-900
TU90D1C2AM7K43Y8,SIDE,L90,N,N,N,N,N,,I,1999021106:56:58-480,-900
RJ6BAF2F9O3Q4Z8J,FRONT,F0,N,N,N,N,N,,I,1999021107:00:12-480,-900
XRW2EAZ1RYFSP5SJ,SIDE,L90,N,N,N,N,N,,I,1999021107:00:24-480,-900
BNDHUS8TS1NGUN9G,FRONT,F0,N,N,N,N,N,,I,1999021107:03:40-480,-900
ZLH0G1LJ6NHIA9LD,SIDE,L90,N,N,N,N,N,,I,1999021107:03:46-480,-900
X619PC7D67AH8W52,FRONT,F0,N,N,N,N,N,,I,1999021107:07:14-480,-900
N2YQG887OS3GN2I3,SIDE,L90,N,N,N,N,N,,I,1999021107:07:20-480,-900
A3DPOWXAUXOSTVER,FRONT,F0,N,N,N,N,N,,I,1999021107:21:48-480,-900
SMKAIN208TG4FWW9,SIDE,L90,N,N,N,N,N,,I,1999021107:22:06-480,-900
FVBYDQH1SKYJM36O,FRONT,F0,N,N,N,N,N,,I,1999021107:26:04-480,-900
Y8N7L8QVNJGZ68T3,SIDE,L90,N,N,N,N,N,,I,1999021107:26:12-480,-900
K9EC0TQBM6QWM8ZH,FRONT,F0,N,N,N,N,N,,I,1999021107:29:18-480,-900
AGWGXXKG9C3HAPND,SIDE,L90,N,N,N,N,N,,I,1999021107:29:24-480,-900
TTYFSYUX5HEW67BH,FRONT,F0,N,N,N,N,N,,I,1999021107:30:04-480,-900
U25UZ10NPFKPGFHI,SIDE,L90,N,N,N,N,N,,I,1999021107:30:16-480,-900
J3B6MF8245OZ67OU,FRONT,F0,N,N,N,N,N,,I,1999021118:48:02-480,-900
QR49316KRHEON3YS,SIDE,L90,N,N,N,N,N,,I,1999021118:48:12-480,-900
WKLRUF0TTOEX581A,FRONT,F0,N,N,N,N,N,,I,1999021120:16:52-480,-900
KENHK0QQH0I79CG1,SIDE,L90,N,N,N,N,N,,I,1999021120:17:08-480,-900
BB487RMPKK2AJV6M,FRONT,F0,N,N,N,N,N,,I,1999021121:22:04-480,-900
WNS1F24IHVX42IUQ,SIDE,L90,N,N,N,N,N,,I,1999021121:22:20-480,-900
I5KYXHQBIPA9MVUE,FRONT,F0,N,N,N,N,N,,I,1999021121:32:16-480,-900
JI2Z338G7A30F1S7,SIDE,L90,N,N,N,N,N,,I,1999021121:32:40-480,-900
JH91H81F7LT8FW3T,FRONT,F0,N,N,N,N,N,,I,1999021121:43:50-480,-900
VSSTHKISGIC6SUYJ,SIDE,L90,N,N,N,N,N,,I,1999021121:44:02-480,-900
FV4OZLP1EYJTLUOL,FRONT,F0,N,N,N,N,N,,I,1999021121:58:36-480,-900
H1COPG6AJU54K883,SIDE,L90,N,N,N,N,N,,I,1999021121:58:42-480,-900
JNZ96ANC0FF8M66O,FRONT,F0,N,N,N,N,N,,I,1999021121:59:32-480,-900
LJH4Q7XL530W3WAO,SIDE,L90,N,N,N,N,N,,I,1999021121:59:40-480,-900
RQS6NA4MO9F7633R,FRONT,F0,N,N,N,N,N,,I,1999021122:21:48-480,-900
M83GCI5RI3Z7ZPSK,SIDE,L90,N,N,N,N,N,,I,1999021122:22:02-480,-900
Z758ULAH77U5QY0Y,FRONT,F0,N,N,N,N,N,,I,1999021202:15:02-480,-900
WJIYGCVMXKC9P7YR,SIDE,L90,N,N,N,N,N,,I,1999021202:15:10-480,-900
Q2K3MSEMP1SDE5P5,FRONT,F0,N,N,N,N,N,,I,1999021202:42:08-480,-900
XXU4Y5KVR6DQ0M9R,SIDE,L90,N,N,N,N,N,,I,1999021202:42:14-480,-900
Y0B7B6PX1VUS5YAN,FRONT,F0,N,N,N,N,N,,I,1999021202:46:08-480,-900
B4NND27L7NW1IBJR,SIDE,L90,N,N,N,N,N,,I,1999021202:46:16-480,-900
A48NAFEQFU66JX4M,FRONT,F0,N,N,N,N,N,,I,1999021202:50:06-480,-900
V763IMZ6I97KJLMY,SIDE,L90,N,N,N,N,N,,I,1999021202:50:16-480,-900
NMEO7WGW8LT7A0P0,FRONT,F0,N,N,N,N,N,,I,1999021203:00:12-480,-900
DZ50LPYOJJ5XWC49,SIDE,L90,N,N,N,N,N,,I,1999021203:00:20-480,-900
K60I1WXGSLRAG5FE,FRONT,F0,N,N,N,N,N,,I,1999021203:07:12-480,-900
WM1DP835F6QPLH3S,SIDE,L90,N,N,N,N,N,,I,1999021203:07:20-480,-900
UXKDDBSIIKLT5OWK,FRONT,F0,N,N,N,N,N,,I,1999021203:12:32-480,-900
J7ZKY6EVYHM7HJP6,SIDE,L90,N,N,N,N,N,,I,1999021203:12:40-480,-900
RB1P2HTIFCPE6RQX,FRONT,F0,N,N,N,N,N,,I,1999021203:16:32-480,-900
QID7PREUBWTH1E0T,SIDE,L90,N,N,N,N,N,,I,1999021203:16:40-480,-900
QIBE5R00NH9UY4SZ,FRONT,F0,N,N,N,N,N,,I,1999021203:20:06-480,-900
X8LBMR5K7VRT8R77,SIDE,L90,N,N,N,N,N,,I,1999021203:20:16-480,-900
LSY398XF19FTZBXW,FRONT,F0,N,N,N,N,N,,I,1999021203:24:24-480,-900
UWDJOREZ9ZGPF11X,SIDE,L90,N,N,N,N,N,,I,1999021203:24:28-480,-900
DGMDN1C9TY5QAIBL,FRONT,F0,N,N,N,N,N,,I,1999021203:29:32-480,-900
H2BL0EI1I74VH8CR,SIDE,L90,N,N,N,N,N,,I,1999021203:29:48-480,-900
GU4OV5T4SFURPVTQ,FRONT,F0,N,N,N,N,N,,I,1999021203:33:20-480,-900
PNE351FW9OJFVOBX,SIDE,L90,N,N,N,N,N,,I,1999021203:33:28-480,-900
XVEGG04H2P5A0H3U,FRONT,F0,N,N,N,N,N,,I,1999021203:38:00-480,-900
BH9FOVIX7GXFXMA7,SIDE,L90,N,N,N,N,N,,I,1999021203:38:08-480,-900
TMHLF6LO2RCCMT1V,FRONT,F0,N,N,N,N,N,,I,1999021203:40:58-480,-900
RJ6N94BRR23YY99G,SIDE,L90,N,N,N,N,N,,I,1999021203:41:08-480,-900
ZWLI7OT0TX2TGP3B,FRONT,F0,N,N,N,N,N,,I,1999021203:50:30-480,-900
MIS3BC70RBZNF6SP,SIDE,L90,N,N,N,N,N,,I,1999021203:50:36-480,-900
KBVKXXUFUS39U85R,FRONT,F0,N,N,N,N,N,,I,1999021206:05:04-480,-900
QO3LYSO68173RCF2,SIDE,L90,N,N,N,N,N,,I,1999021206:05:12-480,-900
A9XFOP9FUZBFB3GF,FRONT,F0,N,N,N,N,N,,I,1999021206:08:34-480,-900
RKJORVNMGRP6NZRN,SIDE,L90,N,N,N,N,N,,I,1999021206:08:42-480,-900
YAHBHTF98YISBOM3,FRONT,F0,N,N,N,N,N,,I,1999021206:11:38-480,-900
L34R6DPC3HN4UVA4,SIDE,L90,N,N,N,N,N,,I,1999021206:11:48-480,-900
QG54C46HTD4G4ICQ,FRONT,F0,N,N,N,N,N,,I,1999021206:22:28-480,-900
OR2F63O40V7SX15S,SIDE,L90,N,N,N,N,N,,I,1999021206:22:36-480,-900
MPN9C64AH1PRZ9MA,FRONT,F0,N,N,N,N,N,,I,1999021206:26:26-480,-900
BVDSW46LCUJV34XO,SIDE,L90,N,N,N,N,N,,I,1999021206:26:34-480,-900
N86V50WY3PQPBEXX,FRONT,F0,N,N,N,N,N,,I,1999021206:29:58-480,-900
IS2LGKUTB2MQA8W4,SIDE,L90,N,N,N,N,N,,I,1999021206:30:04-480,-900
IIM3THLVOPX69CFK,FRONT,F0,N,N,N,N,N,,I,1999021206:33:56-480,-900
CKVG1WKEWHWEBU8W,SIDE,L90,N,N,N,N,N,,I,1999021206:34:06-480,-900
TIZ6TXDYJYBLO3EB,FRONT,F0,N,N,N,N,N,,I,1999021206:37:42-480,-900
OY1JFQF1Z5TQ8TZ8,SIDE,L90,N,N,N,N,N,,I,1999021206:37:48-480,-900
ICWJW1VVT39RU011,FRONT,F0,N,N,N,N,N,,I,1999021206:41:14-480,-900
MAXFJ5D2PTT1L9BB,SIDE,L90,N,N,N,N,N,,I,1999021206:41:26-480,-900
MTFDWZZQX054VUVC,FRONT,F0,N,N,N,N,N,,I,1999021206:45:50-480,-900
IXP09M9CMEGA1FBN,SIDE,L90,N,N,N,N,N,,I,1999021206:45:58-480,-900
NBSRX2LU8A544TMI,FRONT,F0,N,N,N,N,N,,I,1999021207:10:14-480,-900
GAJACRB1H7UIHEVU,SIDE,L90,N,N,N,N,N,,I,1999021207:10:22-480,-900
OT5U07DDI4FF1QTC,FRONT,F0,N,N,N,N,N,,I,1999021207:25:00-480,-900
Q1MDLVNV7GB51IMT,SIDE,L90,N,N,N,N,N,,I,1999021207:25:16-480,-900
ZGRQ5CJ16MPG1V82,FRONT,F0,N,N,N,N,N,,I,1999021216:58:26-480,-900
PFTOF7YN7TBZW7Q8,SIDE,L90,N,N,N,N,N,,I,1999021216:58:52-480,-900
MI6Z787V8DES97VF,FRONT,F0,N,N,N,N,N,,I,1999021217:11:50-480,-900
YZ6SRTE5I3EKUY2E,SIDE,L90,N,N,N,N,N,,I,1999021217:12:06-480,-900
UA2DU3UMASE3SJIP,FRONT,F0,N,N,N,N,N,,I,1999021217:21:14-480,-900
N9SLPBGC011VKQ24,SIDE,L90,N,N,N,N,N,,I,1999021217:21:28-480,-900
A4KFO2EKLR95NDPA,FRONT,F0,N,N,N,N,N,,I,1999021217:37:16-480,-900
NT7N85SQKZIA6SEB,SIDE,L90,N,N,N,N,N,,I,1999021217:37:36-480,-900
CLUMUWKV8B2AAW0B,FRONT,F0,N,N,N,N,N,,I,1999021217:51:26-480,-900
YCJACDVHEA3NFZR5,SIDE,L90,N,N,N,N,N,,I,1999021217:51:36-480,-900
CWQINMTH5EFH4OZ8,FRONT,F0,N,N,N,N,N,,I,1999021218:05:56-480,-900
EHCXJTFA4D2RW3JE,SIDE,L90,N,N,N,N,N,,I,1999021218:06:34-480,-900
VXY7PQBKWU0KHQEX,FRONT,F0,N,N,N,N,N,,I,1999021218:18:14-480,-900
F9IPUP69JWHP84FC,SIDE,L90,N,N,N,N,N,,I,1999021218:18:34-480,-900
V9OPCU4GYJRPYHEX,FRONT,F0,N,N,N,N,N,,I,1999021218:57:18-480,-900
VV5QWB226WMR4NNY,SIDE,L90,N,N,N,N,N,,I,1999021218:57:30-480,-900
FBA3DDEBBSPXRQHU,FRONT,F0,N,N,N,N,N,,I,1999021219:07:58-480,-900
X3DKM9D964B7WZG3,SIDE,L90,N,N,N,N,N,,I,1999021219:08:12-480,-900
KZIBSO7869UB3ZTQ,FRONT,F0,N,N,N,N,N,,I,1999021219:21:10-480,-900
Z1AJ372XICFQBK8G,SIDE,L90,N,N,N,N,N,,I,1999021219:21:26-480,-900
X2BN8AQQ0YEX3EOM,FRONT,F0,N,N,N,N,N,,I,1999021220:08:14-480,-900
QULND7XN8H6WER9H,SIDE,L90,N,N,N,N,N,,I,1999021220:08:26-480,-900
XZT0MNJEGCI9VBGA,FRONT,F0,N,N,N,N,N,,I,1999021220:13:16-480,-900
F5C7C35F4L81KBHP,SIDE,L90,N,N,N,N,N,,I,1999021220:13:20-480,-900
BEK5HC28RY0TEWZD,FRONT,F0,N,N,N,N,N,,I,1999021220:28:10-480,-900
AET41QC1FZD5586A,SIDE,L90,N,N,N,N,N,,I,1999021220:28:18-480,-900
GJGWM4N7S4MBWVFX,FRONT,F0,N,N,N,N,N,,I,1999021222:19:24-480,-900
ZMQ6819OTG9JBBBI,SIDE,L90,N,N,N,N,N,,I,1999021222:19:32-480,-900
IF979N2LO7YV2ZVC,FRONT,F0,N,N,N,N,N,,I,1999021222:20:46-480,-900
KSP9KZWMXEOO0VWY,SIDE,L90,N,N,N,N,N,,I,1999021222:20:58-480,-900
OLFN9TBSMMQBS17B,FRONT,F0,N,N,N,N,N,,I,1999021222:22:38-480,-900
X08K68THKSAKWSPM,SIDE,L90,N,N,N,N,N,,I,1999021222:22:46-480,-900
FMQ4Q3YH89DDT426,FRONT,F0,N,N,N,N,N,,I,1999021222:28:48-480,-900
RVXH54LQIQ7V86HA,SIDE,L90,N,N,N,N,N,,I,1999021222:28:58-480,-900
S4MM9OBKJ5Q3YSEK,FRONT,F0,N,N,N,N,N,,I,1999021222:39:14-480,-900
TSBEIGQH5DJTKUAE,SIDE,L90,N,N,N,N,N,,I,1999021222:39:24-480,-900
STG92D6P91NNUI23,FRONT,F0,N,N,N,N,N,,I,1999021301:25:50-480,-900
VNYCHBL20KZPFNND,SIDE,L90,N,N,N,N,N,,I,1999021301:25:58-480,-900
CDMGKON86H7I6WR1,FRONT,F0,N,N,N,N,N,,I,1999021301:30:32-480,-900
OGQ7PLQ4LCDTLQ58,SIDE,L90,N,N,N,N,N,,I,1999021301:30:40-480,-900
ZIPCGJJG1TYVAKVZ,FRONT,F0,N,N,N,N,N,,I,1999021301:35:30-480,-900
C8NQJJQG9V3V8UIB,SIDE,L90,N,N,N,N,N,,I,1999021301:35:36-480,-900
RAQ1HIWYBQS4XY3X,FRONT,F0,N,N,N,N,N,,I,1999021301:39:48-480,-900
JA5RA0FVF7V0P3BI,SIDE,L90,N,N,N,N,N,,I,1999021301:39:54-480,-900
J1RJGBWIO3HNB5V3,FRONT,F0,N,N,N,N,N,,I,1999021302:13:46-480,-900
NF08647VCF3ZNDWH,SIDE,L90,N,N,N,N,N,,I,1999021302:13:52-480,-900
DLAI5414FDH1XXF8,FRONT,F0,N,N,N,N,N,,I,1999021302:56:24-480,-900
M2WEPCCGBWP6SXMZ,SIDE,L90,N,N,N,N,N,,I,1999021302:56:28-480,-900
R46DN19S4VC6VAO2,FRONT,F0,N,N,N,N,N,,I,1999021303:00:22-480,-900
Z3DPPB041H3RCMRD,SIDE,L90,N,N,N,N,N,,I,1999021303:00:26-480,-900
C2EQ3GFP91R2GLKZ,FRONT,F0,N,N,N,N,N,,I,1999021303:04:48-480,-900
KYVDILU15E0R8KWF,SIDE,L90,N,N,N,N,N,,I,1999021303:04:52-480,-900
XD47S3UDZJ0SXD54,FRONT,F0,N,N,N,N,N,,I,1999021303:14:46-480,-900
UORPP75484KEC8YX,SIDE,L90,N,N,N,N,N,,I,1999021303:14:54-480,-900
FZZRVV4CSPKITP25,FRONT,F0,N,N,N,N,N,,I,1999021304:10:12-480,-900
OM8PGSNSQSP1IJLG,SIDE,L90,N,N,N,N,N,,I,1999021304:10:20-480,-900
RYS7D4IHF8MX1P7I,FRONT,F0,N,N,N,N,N,,I,1999021304:18:20-480,-900
MBF0JKLL0M64SZFE,SIDE,L90,N,N,N,N,N,,I,1999021304:18:28-480,-900
Q36ZSSI44SG3CEV6,FRONT,F0,N,N,N,N,N,,I,1999021304:24:16-480,-900
YY3VKEXJMT6EE753,SIDE,L90,N,N,N,N,N,,I,1999021304:24:22-480,-900
PUP15BK07WGNBOGA,FRONT,F0,N,N,N,N,N,,I,1999021304:38:08-480,-900
SRF0ROR7L81BNUB8,SIDE,L90,N,N,N,N,N,,I,1999021304:38:16-480,-900
YV1V86SI5CKJLS52,FRONT,F0,N,N,N,N,N,,I,1999021304:46:20-480,-900
NZ594UB5OONV4T5D,SIDE,L90,N,N,N,N,N,,I,1999021304:46:24-480,-900
ZRJDWKEE69ZLJPQP,FRONT,F0,N,N,N,N,N,,I,1999021304:52:28-480,-900
WDO8Y7I55R461AZ5,SIDE,L90,N,N,N,N,N,,I,1999021304:52:36-480,-900
VHT9AQVOLHD608R9,FRONT,F0,N,N,N,N,N,,I,1999021304:58:26-480,-900
P9V35VQNKN5F901X,SIDE,L90,N,N,N,N,N,,I,1999021304:58:38-480,-900
PD85HBTRZBQM9484,FRONT,F0,N,N,N,N,N,,I,1999021305:02:32-480,-900
XFCIQI8MU4SZPS7Q,SIDE,L90,N,N,N,N,N,,I,1999021305:02:38-480,-900
VC9ZYBHX34Y99TH7,FRONT,F0,N,N,N,N,N,,I,1999021305:31:20-480,-900
C4YZH19CJ1JZWW52,SIDE,L90,N,N,N,N,N,,I,1999021305:31:32-480,-900
Z9QHO6CC6YLI5V36,FRONT,F0,N,N,N,N,N,,I,1999021306:03:14-480,-900
GFH4HFFVUAGONZ3P,SIDE,L90,N,N,N,N,N,,I,1999021306:03:20-480,-900
EK5BKTC5CCJIL3S5,FRONT,F0,N,N,N,N,N,,I,1999021306:07:38-480,-900
IDTB7WSWGB1PLEPX,SIDE,L90,N,N,N,N,N,,I,1999021306:07:44-480,-900
YAKRPZ78GNCYKKPF,FRONT,F0,N,N,N,N,N,,I,1999021306:11:44-480,-900
FX3EMLIBS4WT73G5,SIDE,L90,N,N,N,N,N,,I,1999021306:11:50-480,-900
CE9W5CFHQHOS3766,FRONT,F0,N,N,N,N,N,,I,1999021306:15:56-480,-900
RVDYBHNFVIBR9TAK,SIDE,L90,N,N,N,N,N,,I,1999021306:16:02-480,-900
R0VDTSQFR0NWL604,FRONT,F0,N,N,N,N,N,,I,1999021306:23:42-480,-900
PJSAHSEL09DS2053,SIDE,L90,N,N,N,N,N,,I,1999021306:23:46-480,-900
GXUZ7CFFFG5KRFT2,FRONT,F0,N,N,N,N,N,,I,1999021306:27:42-480,-900
FUSO9VIE47UWMTJM,SIDE,L90,N,N,N,N,N,,I,1999021306:27:48-480,-900
YCLYFG61DKB2CAZ0,FRONT,F0,N,N,N,N,N,,I,1999021310:53:34-480,-900
ZFQERG9SZQE72ZY0,SIDE,L90,N,N,N,N,N,,I,1999021310:53:46-480,-900
CDYYSEAHECJ3PXT5,FRONT,F0,N,N,N,N,N,,I,1999021316:54:14-480,-900
CY85QAYBKT1HUYKV,SIDE,L90,N,N,N,N,N,,I,1999021316:54:34-480,-900
Z08230TJT4ZFI2EJ,FRONT,F0,N,N,N,N,N,,I,1999021317:49:20-480,-900
N80HYETH05FHPV79,SIDE,L90,N,N,N,N,N,,I,1999021317:49:44-480,-900
J2JC0XIER1TQ6880,FRONT,F0,N,N,N,N,N,,I,1999021317:57:30-480,-900
V8OQ5UE8IG4GGG2Z,SIDE,L90,N,N,N,N,N,,I,1999021317:57:42-480,-900
E9HP113NZ3CWTHOY,FRONT,F0,N,N,N,N,N,,I,1999021321:13:02-480,-900
LR9IISMXQL7ZD44Z,SIDE,L90,N,N,N,N,N,,I,1999021321:13:16-480,-900
PL3GAXAKXW3BKRUE,FRONT,F0,N,N,N,N,N,,I,1999021321:24:40-480,-900
XAGT1D66OMDFIA39,SIDE,L90,N,N,N,N,N,,I,1999021321:24:48-480,-900
N9E597VZP6AQ2YSR,FRONT,F0,N,N,N,N,N,,I,1999021321:25:58-480,-900
UJD156NC4J31BLEA,SIDE,L90,N,N,N,N,N,,I,1999021321:26:06-480,-900
L67Y15EFK80QGZER,FRONT,F0,N,N,N,N,N,,I,1999021322:45:02-480,-900
GIVM3VUT3KJ286DJ,SIDE,L90,N,N,N,N,N,,I,1999021322:45:12-480,-900
WUGHVYG2LN1E1T4J,FRONT,F0,N,N,N,N,N,,I,1999021323:00:10-480,-900
YGQSF3O3HQVIGZ0W,SIDE,L90,N,N,N,N,N,,I,1999021323:00:22-480,-900
CSYCRM3MP21969MJ,FRONT,F0,N,N,N,N,N,,I,1999021405:04:08-480,-900
NGU2OANR5SH1WZN1,SIDE,L90,N,N,N,N,N,,I,1999021405:04:20-480,-900
YK2S0QPGBDKQJMCJ,FRONT,F0,N,N,N,N,N,,I,1999021405:06:24-480,-900
KBJPVSPLWAJN37VA,SIDE,L90,N,N,N,N,N,,I,1999021405:06:36-480,-900
WBZG2DCS0KI6BGRI,FRONT,F0,N,N,N,N,N,,I,1999021406:21:14-480,-900
AOXP72CL15ZWUXQY,SIDE,L90,N,N,N,N,N,,I,1999021406:21:26-480,-900
OOKUUVELCOFHN796,FRONT,F0,N,N,N,N,N,,I,1999021406:32:32-480,-900
PF5I1IQ6XORJDS1E,SIDE,L90,N,N,N,N,N,,I,1999021406:32:50-480,-900
TB380HPDAGKVA045,FRONT,F0,N,N,N,N,N,,I,1999021406:39:02-480,-900
GKTKGRIEKVATJ4PE,SIDE,L90,N,N,N,N,N,,I,1999021406:39:14-480,-900
I8FJJUFIJ9N7TEIW,FRONT,F0,N,N,N,N,N,,I,1999021406:50:54-480,-900
ZCAQ16Z3P60E9Y0Y,SIDE,L90,N,N,N,N,N,,I,1999021406:51:02-480,-900
UGCJ0IFH65P7N1PR,FRONT,F0,N,N,N,N,N,,I,1999021406:54:24-480,-900
UI9Q8HNQOEXU254U,SIDE,L90,N,N,N,N,N,,I,1999021406:54:34-480,-900
CIY4AXDE4UBDP2NL,FRONT,F0,N,N,N,N,N,,I,1999021408:40:32-480,-900
IEC2O71NYBXO694P,SIDE,L90,N,N,N,N,N,,I,1999021408:40:40-480,-900
YRLH2SL50SNE30MS,FRONT,F0,N,N,N,N,N,,I,1999021415:58:28-480,-900
K5HNHLDXZZKEVI3L,SIDE,L90,N,N,N,N,N,,I,1999021415:58:44-480,-900
OUD8FMB9FXV2KRL2,FRONT,F0,N,N,N,N,N,,I,1999021416:19:14-480,-900
DEI99IJIUCQ27LZC,SIDE,L90,N,N,N,N,N,,I,1999021416:19:26-480,-900
OFMREONOPB6O47C0,FRONT,F0,N,N,N,N,N,,I,1999021416:26:26-480,-900
KTH7PQ7CO1JTA2NN,SIDE,L90,N,N,N,N,N,,I,1999021416:26:42-480,-900
F68VZ11CH2NI9DMM,FRONT,F0,N,N,N,N,N,,I,1999021416:31:34-480,-900
D7GRCHT0WA3F53ZM,SIDE,L90,N,N,N,N,N,,I,1999021416:31:48-480,-900
GOBO1HXUZO428OHV,FRONT,F0,N,N,N,N,N,,I,1999021416:45:08-480,-900
OZHV0O9AJKJSSUNC,SIDE,L90,N,N,N,N,N,,I,1999021416:45:20-480,-900
AWRXH0ZDDVO98PO1,FRONT,F0,N,N,N,N,N,,I,1999021417:26:06-480,-900
M1NS12S5HY9JUMB7,SIDE,L90,N,N,N,N,N,,I,1999021417:26:24-480,-900
KZPGMZO74A3N7ZRQ,FRONT,F0,N,N,N,N,N,,I,1999021417:49:12-480,-900
X6II0WSBLGM1FWVX,SIDE,L90,N,N,N,N,N,,I,1999021417:49:28-480,-900
G273P26CW2QRNAA8,FRONT,F0,N,N,N,N,N,,I,1999021420:57:14-480,-900
UMRKBCVB4IIUH27P,SIDE,L90,N,N,N,N,N,,I,1999021420:57:28-480,-900
Z8BOZRPF7YMHXGLT,FRONT,F0,N,N,N,N,N,,I,1999021421:11:32-480,-900
A9TOZS5YGDL9E0CQ,SIDE,L90,N,N,N,N,N,,I,1999021421:11:44-480,-900
HN1DFJQZ5Y1QQR0P,SIDE,L90,N,N,N,N,N,,I,1999021504:17:28-480,-900
FB8D4AAB2DR6QNWO,FRONT,F0,N,N,N,N,N,,I,1999021504:17:44-480,-900
HD4SK2W6I7VIJJO2,SIDE,L90,N,N,N,N,N,,I,1999021504:23:48-480,-900
DJW7BGT6ZPNR5BL5,FRONT,F0,N,N,N,N,N,,I,1999021504:24:02-480,-900
SPVBUHTR9CGXJT3M,FRONT,F0,N,N,N,N,N,,I,1999021504:28:46-480,-900
R96QZP56B9R2WGLE,SIDE,L90,N,N,N,N,N,,I,1999021504:29:00-480,-900
BS4BRJGTAL97N8F6,FRONT,F0,N,N,N,N,N,,I,1999021504:33:50-480,-900
JEOPT64K5UAOZF6R,SIDE,L90,N,N,N,N,N,,I,1999021504:34:02-480,-900
FHQW4O8XV7SF6KQQ,FRONT,F0,N,N,N,N,N,,I,1999021505:20:22-480,-900
B1JX52PWHV4HTRA3,SIDE,L90,N,N,N,N,N,,I,1999021505:20:34-480,-900
