LOAD DATA
INFILE *
APPEND
INTO TABLE macomb.mt_eh_nist_mugshot
FIELDS TERMINATED BY ',' OPTIONALLY ENCLOSED BY '"'
(PHOTO_ID,IMAGE_POSE,POSE_OFFSET_ANGLE,GLASSES_FLAG,HAT_FLAG,SCARF_FLAG,PHYSICAL_FLAG,OTHER_FLAG,DESCRIPTION,ACTION_TYPE,ACTION_TIME,ACTION_BY)
ATNIHJ0IKK0S0COJ,SIDE,L90,N,N,N,N,N,,I,1999010301:30:38-480,-900
EZFZGSP3B3888VPC,FRONT,F0,N,N,N,N,N,,I,1999010305:46:12-480,-900
LKZW6DQ7NPZWP0AX,SIDE,L90,N,N,N,N,N,,I,1999010305:46:18-480,-900
YWT5W9ZVQKMC8IPB,FRONT,F0,N,N,N,N,N,,I,1999010306:08:12-480,-900
Q94V5JI1D3EIDGDN,SIDE,L90,N,N,N,N,N,,I,1999010306:08:22-480,-900
Q7FGXX7DWDGV3MPY,FRONT,F0,N,N,N,N,N,,I,1999010322:08:40-480,-900
ZW7723KLD9CCYYGP,SIDE,L90,N,N,N,N,N,,I,1999010322:09:02-480,-900
ZXN37G1DO6C9EO0P,FRONT,F0,N,N,N,N,N,,I,1999010400:53:48-480,-900
EQASWWT33CTGTPJ3,SIDE,L90,N,N,N,N,N,,I,1999010400:54:02-480,-900
MTGVFRXNF0FYDBWV,FRONT,F0,N,N,N,N,N,,I,1999010401:04:42-480,-900
YAUT83NVX7ORTA68,SIDE,L90,N,N,N,N,N,,I,1999010401:04:48-480,-900
ZFI0ODBFHEDTVBHU,FRONT,F0,N,N,N,N,N,,I,1999010401:05:42-480,-900
KWNGDUBSWIZ1OFDD,SIDE,L90,N,N,N,N,N,,I,1999010401:05:54-480,-900
R3TY7IOWXOB0SW5K,FRONT,F0,N,N,N,N,N,,I,1999010405:12:24-480,-900
UXIJCOIO3ADEM3G7,SIDE,L90,N,N,N,N,N,,I,1999010405:12:34-480,-900
WQ8LSREKBZN5Q7L6,FRONT,F0,N,N,N,N,N,,I,1999010406:06:20-480,-900
OSXF41EDWHU1K3ZR,SIDE,L90,N,N,N,N,N,,I,1999010406:06:28-480,-900
IJL4U7R1P6R9FJHW,FRONT,F0,N,N,N,N,N,,I,1999010406:17:36-480,-900
DX68229C7YMKEPJ0,SIDE,L90,N,N,N,N,N,,I,1999010406:17:40-480,-900
RF4CYQP0WHLFJLTX,FRONT,F0,N,N,N,N,N,,I,1999010406:39:46-480,-900
TTBY2I9P5IPD3KM9,SIDE,L90,N,N,N,N,N,,I,1999010406:40:10-480,-900
BXZPZHYKFDBPRFIR,FRONT,F0,N,N,N,N,N,,I,1999010413:43:08-480,-900
NZM43TOJARSHG0LL,SIDE,L90,N,N,N,N,N,,I,1999010413:43:32-480,-900
ZL776R0B7LWLEFIC,FRONT,F0,N,N,N,N,N,,I,1999010417:52:28-480,-900
WZQRP488TOXZWALT,SIDE,L90,N,N,N,N,N,,I,1999010417:52:40-480,-900
R7SQYOD3F98S99JT,FRONT,F0,N,N,N,N,N,,I,1999010422:12:34-480,-900
HYNW26FAM5LPK1WP,SIDE,L90,N,N,N,N,N,,I,1999010422:12:50-480,-900
AGRPSXSPX6IU4RBM,FRONT,F0,N,N,N,N,N,,I,1999010422:14:18-480,-900
HRH4ZNS27ZLDJLW9,SIDE,L90,N,N,N,N,N,,I,1999010422:14:36-480,-900
T7MA0H9PXI8VUZ4B,FRONT,F0,N,N,N,N,N,,I,1999010422:19:36-480,-900
F2ZINNBSA5VGU7GH,SIDE,L90,N,N,N,N,N,,I,1999010422:19:52-480,-900
MOMJD0CJ0ODVCD4Z,FRONT,F0,N,N,N,N,N,,I,1999010501:42:14-480,-900
QVVD87S8FRSQHQNS,SIDE,L90,N,N,N,N,N,,I,1999010501:42:22-480,-900
L4WTWU8RI5TLXZL0,FRONT,F0,N,N,N,N,N,,I,1999010501:42:56-480,-900
AFX4YYZLBYD3BQNV,SIDE,L90,N,N,N,N,N,,I,1999010501:43:08-480,-900
PAUG0SJ8MFOAUVUW,FRONT,F0,N,N,N,N,N,,I,1999010501:43:56-480,-900
I9R4ITWL5L5JG03E,SIDE,L90,N,N,N,N,N,,I,1999010501:44:06-480,-900
LDZWPUS5BVCLQNSB,FRONT,F0,N,N,N,N,N,,I,1999010501:52:32-480,-900
GGYR7W8T68HRYVB4,FRONT,F0,N,N,N,N,N,,I,1999010501:53:14-480,-900
PA1XEATJ2I4BQNTN,SIDE,L90,N,N,N,N,N,,I,1999010501:53:22-480,-900
QM3I3CRL4SYRRSNQ,FRONT,F0,N,N,N,N,N,,I,1999010501:54:02-480,-900
UPJVCHGWXDB7L46Q,SIDE,L90,N,N,N,N,N,,I,1999010501:54:12-480,-900
MD2PEW1C58E9J7RO,FRONT,F0,N,N,N,N,N,,I,1999010501:55:18-480,-900
EAV20RARUXUIS6NE,SIDE,L90,N,N,N,N,N,,I,1999010501:55:26-480,-900
PJX5HF4S085BM73B,FRONT,F0,N,N,N,N,N,,I,1999010502:07:20-480,-900
CE41Q5DFQCJ1A2SX,SIDE,L90,N,N,N,N,N,,I,1999010502:07:32-480,-900
ZB6AF9L3MPJOLHBK,FRONT,F0,N,N,N,N,N,,I,1999010502:08:06-480,-900
V0MM9A2P80WLOZXZ,SIDE,L90,N,N,N,N,N,,I,1999010502:08:12-480,-900
TTVCINTZ7QW34VVA,FRONT,F0,N,N,N,N,N,,I,1999010502:08:56-480,-900
EHPZ6QYD4X79TQMQ,SIDE,L90,N,N,N,N,N,,I,1999010502:09:04-480,-900
BE27Y8MHA4WT6Z84,FRONT,F0,N,N,N,N,N,,I,1999010502:09:54-480,-900
EG1X4AOFGP2CY18O,SIDE,L90,N,N,N,N,N,,I,1999010502:10:04-480,-900
XO12WK6KFA3A3HS1,FRONT,F0,N,N,N,N,N,,I,1999010502:28:14-480,-900
LT7C89J2MASTVU9Z,SIDE,L90,N,N,N,N,N,,I,1999010502:28:22-480,-900
K6UJ8G0YWC5QHZKY,FRONT,F0,N,N,N,N,N,,I,1999010502:28:54-480,-900
SKT8LRPSUJLXNHVT,FRONT,F0,N,N,N,N,N,,I,1999010502:30:06-480,-900
J14897KLU2702R9B,SIDE,L90,N,N,N,N,N,,I,1999010502:30:14-480,-900
J60O899RD9WW644J,FRONT,F0,N,N,N,N,N,,I,1999010502:30:52-480,-900
JBVY85XMNLVUATUG,SIDE,L90,N,N,N,N,N,,I,1999010502:30:58-480,-900
S69LX5NCBNR6A9EC,FRONT,F0,N,N,N,N,N,,I,1999010504:23:46-480,-900
ZB7SKB9HN4IQUNAH,SIDE,L90,N,N,N,N,N,,I,1999010504:23:54-480,-900
KW23RIY6VT1EOOSQ,FRONT,F0,N,N,N,N,N,,I,1999010504:28:08-480,-900
FMG06RZIUJXD1NVH,SIDE,L90,N,N,N,N,N,,I,1999010504:28:20-480,-900
GH92F947HJAI3B5V,FRONT,F0,N,N,N,N,N,,I,1999010505:19:42-480,-900
BVQO647SZVVRHWC1,SIDE,L90,N,N,N,N,N,,I,1999010505:19:50-480,-900
JKCYWCK6RIEKC4FG,FRONT,F0,N,N,N,N,N,,I,1999010505:21:02-480,-900
JQ5PJJDWEV3RBVWX,SIDE,L90,N,N,N,N,N,,I,1999010505:21:08-480,-900
QTDFRI6EADQHMMPD,FRONT,F0,N,N,N,N,N,,I,1999010505:22:10-480,-900
UNTV96D70VRB1755,SIDE,L90,N,N,N,N,N,,I,1999010505:22:16-480,-900
RH7WN0NGTLW9NANQ,FRONT,F0,N,N,N,N,N,,I,1999010505:30:54-480,-900
JF2U1CFML8U9JW2X,SIDE,L90,N,N,N,N,N,,I,1999010505:31:06-480,-900
I3T69O5K2X9SNJ5E,FRONT,F0,N,N,N,N,N,,I,1999010505:31:44-480,-900
V1D2ZP88OTFQKBF0,SIDE,L90,N,N,N,N,N,,I,1999010505:31:52-480,-900
UFLPWKL95DHPKDVZ,FRONT,F0,N,N,N,N,N,,I,1999010505:33:28-480,-900
ZL0UM6E8MUCAPMSJ,SIDE,L90,N,N,N,N,N,,I,1999010505:33:34-480,-900
ZMUPDGZHZ1PX7S9R,FRONT,F0,N,N,N,N,N,,I,1999010505:34:22-480,-900
J88FJAYTEZ0964QJ,SIDE,L90,N,N,N,N,N,,I,1999010505:34:28-480,-900
MIOAO206K2BSYX7Z,FRONT,F0,N,N,N,N,N,,I,1999010505:40:08-480,-900
LLMTLIDG9TVU2IZ9,SIDE,L90,N,N,N,N,N,,I,1999010505:40:16-480,-900
AMNFOKM9FBHM9J57,FRONT,F0,N,N,N,N,N,,I,1999010505:41:08-480,-900
I4WW9411BBXE1EOO,SIDE,L90,N,N,N,N,N,,I,1999010505:41:18-480,-900
GJFY2MJEP86JWNKM,FRONT,F0,N,N,N,N,N,,I,1999010505:43:10-480,-900
OAWOVQ0O7E6L5VTV,SIDE,L90,N,N,N,N,N,,I,1999010505:43:16-480,-900
JVSHDI9P1UP7YRMI,FRONT,F0,N,N,N,N,N,,I,1999010505:44:04-480,-900
GMXGYRH154B7BTBD,SIDE,L90,N,N,N,N,N,,I,1999010505:44:16-480,-900
VD6KMMI9S34HR10P,FRONT,F0,N,N,N,N,N,,I,1999010505:53:00-480,-900
VGIIZCFVYGECUXGR,SIDE,L90,N,N,N,N,N,,I,1999010505:53:14-480,-900
XL6L1UTGXMA2WDJG,FRONT,F0,N,N,N,N,N,,I,1999010505:53:46-480,-900
U5HSDGW4IBC8REUT,SIDE,L90,N,N,N,N,N,,I,1999010505:53:56-480,-900
BGYRP8M8P87YLL1N,FRONT,F0,N,N,N,N,N,,I,1999010505:58:58-480,-900
ASPRTJV68Z26H0BB,SIDE,L90,N,N,N,N,N,,I,1999010505:59:14-480,-900
