LOAD DATA
INFILE *
APPEND
INTO TABLE macomb.mt_eh_entity_default_photo
FIELDS TERMINATED BY ',' OPTIONALLY ENCLOSED BY '"'
(ENTITY_ID,PHOTO_ID,ACTION_TYPE,ACTION_TIME,ACTION_BY)
BEGINDATA
0IHUW93000XD3MIG,GJFY2MJEP86JWNKM,I,1999010505:43:10-480,-900
0IHUI0H000X30MIG,JVSHDI9P1UP7YRMI,I,1999010505:44:04-480,-900
0IHUW8Z0Y0XD3MIG,XL6L1UTGXMA2WDJG,I,1999010505:53:46-480,-900
0IHUW8V000XD3MIG,BGYRP8M8P87YLL1N,I,1999010505:58:58-480,-900
0IHUNC3000XD3MIG,DD3LAEGQK3I99R4M,I,1999010506:12:00-480,-900
0IHULA3060XD7MIG,I8UCT75M9M9Q9VZO,I,1999010506:12:50-480,-900
0IHUTJS0V0XD3MIG,XM98A0WFHA3ZGFTR,I,1999010506:19:32-480,-900
0IHVJ93850X78MIG,NYUXCC1N3UDEB9G1,I,1999010506:38:36-480,-900
0IHVKN4870X84MIG,VWGMOVK4WU5STSV3,I,1999010506:41:30-480,-900
0IHUW8Y000XD3MIG,Z9A515U3F2K1VDMW,I,1999010506:43:24-480,-900
0IHV4HT000X31MIG,RO2GSZDODZACLZXI,I,1999010515:58:28-480,-900
0IHUUD21P0XD3MIG,OLZKT0QZ5OOVQUCR,I,1999010517:49:48-480,-900
0IHUQ48090X23MIG,U9XDBS934D48BI7P,I,1999010518:10:10-480,-900
0IHVM5NJF0X85MIG,AMG2MCBTUBR0R0IE,I,1999010519:19:38-480,-900
0IHVBXP000X44MIG,XB81B3EHIT23ZZMI,I,1999010519:20:48-480,-900
0IHVLLG190X84MIG,WD9GETGVLVWHIKTF,I,1999010519:34:50-480,-900
0IHVNJV000X84MIG,Q6Z4IJR766G95XWF,I,1999010520:04:48-480,-900
0IHUSHW2L0XD2MIG,VXY5CWHPETO530SW,I,1999010520:19:34-480,-900
0IHUTCO0R0XD3MIG,EANB8OHK88ZF1XZS,I,1999010522:33:22-480,-900
0IHUM59060XD3MIG,J2KX5WVHPOL03MFG,I,1999010522:47:14-480,-900
0IHVM0EO90X85MIG,K0YH37IC53X409UJ,I,1999010522:54:02-480,-900
0IHVE8D000X51MIG,C76UHU08G4SS9RE2,I,1999010601:48:14-480,-900
0IHVP14330X83MIG,J0KBCB6OV5ZK5APL,I,1999010601:50:08-480,-900
0IHVR1Z000X83MIG,BXADN34U5JK5OCPV,I,1999010601:57:34-480,-900
0IHULDMDH0XD3MIG,QTRY7Y148XZTIR5D,I,1999010601:58:38-480,-900
0IHUTL5550XD3MIG,XGW0KLVTIEVFUS9Y,I,1999010602:04:12-480,-900
0IHUWA2000XD3MIG,CZOVCYI5KW3W7B9W,I,1999010602:09:46-480,-900
0IHV3PF2L0XD1MIG,Z5UCRS5D3IVKC7M9,I,1999010602:15:56-480,-900
0IHUWB11C0XD3MIG,B1QUEAOKSEOTOJJ6,I,1999010602:18:28-480,-900
0IHUM10190XD3MIG,X7NW7BPW0U0SVPJR,I,1999010604:57:52-480,-900
0IHUJWD090X22MIG,Z0UST87YMZ32P7WW,I,1999010604:59:10-480,-900
0IHUWCWH40XD7MIG,DVT0CJ0QUGLR4FSP,I,1999010605:04:52-480,-900
0IHUJUYXF0XD2MIG,OHU1L73SH592PS19,I,1999010605:05:58-480,-900
0IHUWB9300XD3MIG,VKZVS90K7AUDBVUE,I,1999010605:12:08-480,-900
0IHUNC7460XD7MIG,X1E2P1R6RTO50ZWL,I,1999010605:30:42-480,-900
0IHV3XV2C0XD2MIG,FIGFASDOFR4MZBT1,I,1999010605:35:40-480,-900
0IHUWBC000XD3MIG,W931P7S9AN0BR4MS,I,1999010605:52:14-480,-900
0IHUO2Y000XD1MIG,AR6GD2TG32YA9YNK,I,1999010606:18:08-480,-900
0IHVOJI000X83MIG,LT5WI9YYTQGLLZ2P,I,1999010618:54:42-480,-900
0IHUT19300XD3MIG,K0DVXSF0LUEBKX0Y,I,1999010619:50:06-480,-900
0IHUWBH2A0XD3MIG,XXIUSB3N73OXWMI5,I,1999010619:54:24-480,-900
0IHVJ88670X78MIG,K10UYQH979T5K4NF,I,1999010620:38:12-480,-900
0IHVPJB0A0X84MIG,FIRZP7GGEQHWOW1T,I,1999010620:39:44-480,-900
0IHUNP20U0XD3MIG,EDTIB8ERC2UA2JW4,I,1999010620:45:42-480,-900
0IHUP5S0V0XD3MIG,K5GL7S4WYT7HS76X,I,1999010622:08:14-480,-900
0IHUWBN000XD3MIG,F8NP8RKN3GRCU84Y,I,1999010622:12:22-480,-900
0IHVNJF220X83MIG,E2GXF5MRVNQ9J6YJ,I,1999010622:23:52-480,-900
0IHUWBT000XD3MIG,KRLX1B5LZAXBH6X8,I,1999010702:38:26-480,-900
0IHUH3F010X30MIG,KRSWPRX2M2ELLXF9,I,1999010702:41:00-480,-900
0IHUWBO060XD3MIG,LEDGQZ3YW6DTXO6P,I,1999010702:42:56-480,-900
